titles,years,ratings,location,variety
Holus Bolus 2017 Presqu'ile Vineyard Syrah (Santa Maria Valley),2017,96,Central Coast,Syrah
Sanguis 2016 Bossman Red (Central Coast),2016,96,Central Coast,"Red Blends, Red Blends"
Chanin 2017 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),2017,96,Central Coast,Chardonnay
Chanin 2017 Sanford & Benedict Vineyard Chardonnay (Sta. Rita Hills),2017,96,Central Coast,Chardonnay
Denner 2016 Mother Of Exiles Red (Paso Robles Willow Creek District),2016,96,Central Coast,Bordeaux-style Red Blend
Austin Hope 2017 Cabernet Sauvignon (Paso Robles),2017,95,Central Coast,Cabernet Sauvignon
Sanguis 2016 The Ten Wings White (Central Coast),2016,95,Central Coast,White Blend
Longoria 2017 A Noir Supreme Pinot Noir (Sta. Rita Hills),2017,95,Central Coast,Pinot Noir
Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),2016,95,Central Coast,Cabernet Sauvignon
Daou 2017 Unbound Red (Paso Robles),2017,95,Central Coast,"Red Blends, Red Blends"
Gainey 2016 Patrick's Vineyard Selection Red (Santa Ynez Valley),2016,95,Central Coast,Bordeaux-style Red Blend
Sanguis 2015 Loner Le Dauphine Bien Nacido Vineyard Chardonnay (Santa Maria Valley),2015,95,Central Coast,Chardonnay
Justin 2016 Reserve Cabernet Sauvignon (Paso Robles),2016,94,Central Coast,Cabernet Sauvignon
Law 2016 Audacious Red (Adelaida District),2016,94,Central Coast,"Red Blends, Red Blends"
Testarossa 2016 Sanford & Benedict Vineyard Chardonnay (Sta. Rita Hills),2016,94,Central Coast,Chardonnay
Sanguis 2016 The Modern Red (Central Coast),2016,94,Central Coast,"Red Blends, Red Blends"
Etude 2016 North Canyon Vineyard Pinot Noir (Santa Maria Valley),2016,94,Central Coast,Pinot Noir
Justin 2015 Focus Syrah (Paso Robles),2015,94,Central Coast,Syrah
Eden Rift 2017 Terraces Chardonnay (Cienega Valley),2017,94,Central Coast,Chardonnay
Eden Rift 2017 Terraces Chardonnay (Cienega Valley),2017,94,Central Coast,Chardonnay
Testarossa 2016 Fogstone Vineyard Single Vineyard Series Pinot Noir (Santa Lucia Highlands),2016,94,Central Coast,Pinot Noir
E16 2015 Upper Bench Pinot Noir (Santa Lucia Highlands),2015,94,Central Coast,Pinot Noir
Longoria 2017 Fe Ciega Vineyard Pinot Noir (Sta. Rita Hills),2017,94,Central Coast,Pinot Noir
Private Property 2017 Pinot Noir (Santa Lucia Highlands),2017,93,Central Coast,Pinot Noir
Four Lanterns 2017 Cabernet Franc (Paso Robles),2017,93,Central Coast,Cabernet Franc
Chanin 2017 Los Alamos Vineyard Chardonnay (Santa Barbara County),2017,93,Central Coast,Chardonnay
Etude 2017 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Falcone 2017 Cabernet Sauvignon (Paso Robles),2017,93,Central Coast,Cabernet Sauvignon
Foxen 2017 Julia's Vineyard Pinot Noir (Santa Maria Valley),2017,93,Central Coast,Pinot Noir
Rusack 2017 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),2017,93,Central Coast,Chardonnay
Dunites 2017 Spanish Springs Vineyard Syrah (San Luis Obispo County),2017,93,Central Coast,Syrah
Foxen 2017 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Qupé 2017 Bien Nacido Hillside Estate Syrah (Santa Maria Valley),2017,93,Central Coast,Syrah
Bellante 2017 Watch Hill Vineyard Reserve Syrah (Santa Barbara County),2017,93,Central Coast,Syrah
Bonny Doon 2018 Le Cigare Volant Cuvée Oumuamua Red (Monterey),2018,93,Central Coast,Rhône-style Red Blend
Ancient Peaks 2016 Oyster Ridge Red (Santa Margarita Ranch),2016,93,Central Coast,Bordeaux-style Red Blend
Four Lanterns 2016 Fire Light Syrah (Paso Robles Willow Creek District),2016,93,Central Coast,Syrah
Camins 2 Dreams 2017 Zotovich Vineyard Syrah (Sta. Rita Hills),2017,93,Central Coast,Syrah
Foxen 2017 Fe Ciega Vineyard Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Denner 2017 Ditch Digger Red (Paso Robles Willow Creek District),2017,93,Central Coast,Rhône-style Red Blend
I. Brand & Family 2017 Escolle Vineyard Chardonnay (Santa Lucia Highlands),2017,93,Central Coast,Chardonnay
MacRostie 2017 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),2017,93,Central Coast,Pinot Noir
Qupé 2016 Bien Nacido Block Eleven Chardonnay (Santa Maria Valley),2016,93,Central Coast,Chardonnay
Clos de la Tech 2014 Domaine Lois Louise Twisty Ridge Pinot Noir (Santa Cruz Mountains),2014,93,Central Coast,Pinot Noir
Private Property 2017 Chardonnay (Santa Lucia Highlands),2017,92,Central Coast,Chardonnay
Gallo Signature Series 2016 Pinot Noir (Santa Lucia Highlands),2016,92,Central Coast,Pinot Noir
Testarossa 2016 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),2016,92,Central Coast,Chardonnay
Etude 2016 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),2016,92,Central Coast,Pinot Noir
Testarossa 2016 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),2016,92,Central Coast,Pinot Noir
Kukkula 2016 Sisu Red (Adelaida District),2016,92,Central Coast,Rhône-style Red Blend
Testarossa 2016 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),2016,92,Central Coast,Pinot Noir
Anglim 2017 Hastings Ranch Vineyard Roussanne (Adelaida District),2017,92,Central Coast,Roussanne
Sculpterra 2017 Mega Focus Red (Central Coast),2017,92,Central Coast,Rhône-style Red Blend
Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),2016,92,Central Coast,Cabernet Sauvignon
Lumen 2016 Presqu'ile Vineyard Pinot Noir (Santa Maria Valley),2016,92,Central Coast,Pinot Noir
Four Lanterns 2018 Apricity Picpoul Blanc (Paso Robles Willow Creek District),2018,92,Central Coast,"Picpoul Blanc, Other White"
El Lugar 2016 Spanish Springs Vineyard Syrah (San Luis Obispo County),2016,92,Central Coast,Syrah
Peachy Canyon 2017 D Block Zinfandel (Paso Robles),2017,91,Central Coast,Zinfandel
Daou 2018 Chardonnay (Paso Robles),2018,91,Central Coast,Chardonnay
Lion Ranch 2018 Lioness Rosé (Santa Clara Valley),2018,91,Central Coast,Rosé
Level 3 2016 Milestone Red (Paso Robles),2016,91,Central Coast,Rhône-style Red Blend
Lumen 2016 Grenache Blanc (Santa Barbara County),2016,91,Central Coast,"Grenache Blanc, Other White"
Graveyard 2017 Mortal Zin Zinfandel (Paso Robles),2017,91,Central Coast,Zinfandel
Kukkula 2018 Vaalea White (Adelaida District),2018,91,Central Coast,Rhône-style White Blend
Peachy Canyon 2017 Mustang Springs Zinfandel (Adelaida District),2017,91,Central Coast,Zinfandel
Sanguis 2016 Since You Asked Kindly Red (Central Coast),2016,91,Central Coast,"Red Blends, Red Blends"
Denner 2017 Viognier (Paso Robles Willow Creek District),2017,91,Central Coast,Viognier
Lumen 2016 Martian Ranch Vineyard Grenache (Santa Barbara County),2016,91,Central Coast,Grenache
Zotovich 2017 Syrah (Sta. Rita Hills),2017,91,Central Coast,Syrah
Testarossa 2016 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley),2016,91,Central Coast,Pinot Noir
