"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"87Q",-121.2847,35.6656,1989,1,1,64.055,49.82,60.6416666666667,169.333333333333,8.272,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,2,78.5218181818182,52.9945454545455,52.2890909090909,251.666666666667,4.04833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,3,61.5028571428571,46.7942857142857,60.0247619047619,233.958333333333,4.71,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,4,54.3885714285714,44.9085714285714,71.162380952381,219.782608695652,5.30782608695652,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,5,61.916,45.05,75.5025,198.260869565217,10.5286956521739,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,6,56.291,46.31,69.6695,318.333333333333,12.4616666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,7,62.609,36.518,62.133,257,9.7664,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,8,68.9317647058824,43.6788235294118,50.9694117647059,264.375,7.095,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,9,76.1818181818182,41.5481818181818,50.225,211.25,5.09,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,10,64.8460869565217,44.044347826087,72.1947826086956,239.166666666667,8.29833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,11,56.1484210526316,36.9736842105263,52.0684210526316,305.869565217391,9.04695652173913,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,12,64.39,42.098,46.304,169.782608695652,7.13391304347826,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,13,88.349,46.013,43.2235,190.833333333333,5.92666666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,14,48.8247058823529,41.2964705882353,75.9005882352941,296.666666666667,11.1733333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,15,55.6817391304348,39.1373913043478,54.9273913043478,297.291666666667,6.41833333333333,NA,30.0004166666667,NA
"87Q",-121.2847,35.6656,1989,1,16,63.6472727272727,36.7290909090909,50.6745454545455,250.208333333333,4.29666666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,17,79.502,39.677,46.055,247.708333333333,5.92833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,18,73.94,41.801,57.1265,243.541666666667,4.21666666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,19,52.808,44.474,73.265,265.416666666667,4.46166666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,20,61.2418181818182,40.5172727272727,55.9436363636364,203.125,3.50333333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,21,61.4726315789474,41.5021052631579,58.9747368421053,244.583333333333,4.87666666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,22,47.7357894736842,45.32,91.4231578947368,248.636363636364,6.00181818181818,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,23,70.241,41.504,61.5884210526316,136.95652173913,9.40173913043478,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,24,70.4364705882353,41.4129411764706,61.6558823529412,302.173913043478,14.4904347826087,NA,30,NA
"87Q",-121.2847,35.6656,1989,1,25,83.46875,48.02,46.396875,260.227272727273,6.09636363636364,NA,30,NA
"87Q",-121.2847,35.6656,1989,2,1,NA,NA,NA,275,4.624,NA,29.95,NA
"87Q",-121.2847,35.6656,1989,2,2,54.3854545454545,38.9709090909091,56.6518181818182,299.166666666667,8.75666666666667,NA,29.99875,NA
"87Q",-121.2847,35.6656,1989,2,3,54.7647619047619,41.1542857142857,60.5547619047619,188.958333333333,6.08333333333333,NA,30.0595833333333,NA
"87Q",-121.2847,35.6656,1989,2,4,53.25,42.71,67.7611111111111,294.166666666667,13.5083333333333,NA,29.9629166666667,NA
"87Q",-121.2847,35.6656,1989,2,5,55.868,34.988,46.3105,215.625,11.1716666666667,NA,30.0304166666667,NA
"87Q",-121.2847,35.6656,1989,2,6,48.866,20.426,33.332,76.0416666666667,8.96333333333333,NA,30.0904166666667,NA
"87Q",-121.2847,35.6656,1989,2,7,67.5447058823529,29.0988235294118,24.9452941176471,31.304347826087,9.44173913043478,NA,30.0973913043478,NA
"87Q",-121.2847,35.6656,1989,2,8,74.1885714285714,43.1171428571429,36.9557142857143,34.7916666666667,13.0033333333333,NA,29.9741666666667,NA
"87Q",-121.2847,35.6656,1989,2,9,58.82,46.4529411764706,63.9035294117647,132.368421052632,9.84421052631579,NA,30.0147368421053,NA
"87Q",-121.2847,35.6656,1989,2,10,76.0571428571428,38.4285714285714,43.4561904761905,219.583333333333,4.79833333333333,NA,30.25375,NA
"87Q",-121.2847,35.6656,1989,2,11,67.8854545454546,40.6154545454545,51.4877272727273,279.375,7.84,NA,30.265,NA
"87Q",-121.2847,35.6656,1989,2,12,56.2147368421053,42.2126315789474,59.92,223.333333333333,10.6683333333333,NA,30.14375,NA
"87Q",-121.2847,35.6656,1989,2,13,55.2094117647059,39.9094117647059,57.0435294117647,276.346153846154,14.9630769230769,NA,29.9830769230769,NA
"87Q",-121.2847,35.6656,1989,2,14,71.0221052631579,43.7852631578947,58.7652631578947,176.875,6.715,NA,30,NA
"87Q",-121.2847,35.6656,1989,2,15,53.4305882352941,47.4588235294118,80.6376470588235,201.666666666667,5.50333333333333,NA,30.155,NA
"87Q",-121.2847,35.6656,1989,2,16,62.12,38.16,64.8938888888889,320,7.83833333333333,NA,30.2283333333333,NA
"87Q",-121.2847,35.6656,1989,2,17,62.96,43.196,72.713,285.833333333333,10.59,NA,30.16625,NA
"87Q",-121.2847,35.6656,1989,2,18,66.8347368421053,41.9663157894737,66.118947368421,245.416666666667,8.50666666666667,NA,30.0416666666667,NA
"87Q",-121.2847,35.6656,1989,2,19,71.636,44.339,68.876,208.125,7.38833333333333,NA,29.965,NA
"87Q",-121.2847,35.6656,1989,2,20,77.981,41.756,55.5625,277.916666666667,8.095,NA,30.0454166666667,NA
"87Q",-121.2847,35.6656,1989,2,21,77.6,42.4314285714286,57.9547619047619,304.375,8.42333333333333,NA,30.1217391304348,NA
"87Q",-121.2847,35.6656,1989,2,22,72.2054545454545,44.6490909090909,62.8695454545455,262.083333333333,7.04833333333333,NA,30.1191666666667,NA
"87Q",-121.2847,35.6656,1989,2,23,51.03,49.1,93.2266666666667,280.652173913043,12.5669565217391,NA,30.05,NA
"87Q",-121.2847,35.6656,1989,2,24,69.0045454545455,43.0127272727273,68.7809090909091,248.958333333333,6.58833333333333,NA,29.9883333333333,NA
"87Q",-121.2847,35.6656,1989,2,25,59.2057142857143,47.42,80.8380952380952,271.25,3.66833333333333,NA,30.0275,NA
"87Q",-121.2847,35.6656,1989,2,26,51.7314285714286,48.2085714285714,87.9076190476191,294.4,6.4816,NA,30.068,NA
"87Q",-121.2847,35.6656,1989,2,27,72.1008695652174,43.3947826086956,64.7195652173913,288.75,7.925,NA,29.94875,NA
"87Q",-121.2847,35.6656,1989,2,28,68.7105263157895,41.0568421052632,59.7047368421053,298.75,21.0483333333333,NA,29.8075,NA
"87Q",-121.2847,35.6656,1989,3,1,48.29,42.6328571428571,80.8271428571429,247.1875,8.8775,NA,29.929375,NA
"87Q",-121.2847,35.6656,1989,3,2,67.6778947368421,42.998947368421,69.85,164.791666666667,12.8816666666667,NA,29.7541666666667,NA
"87Q",-121.2847,35.6656,1989,3,3,63.61,36.94,57.4861111111111,281.041666666667,18.425,NA,29.79375,NA
"87Q",-121.2847,35.6656,1989,3,4,59.17,37.73,60.6477777777778,274.583333333333,5.67166666666667,NA,29.98375,NA
"87Q",-121.2847,35.6656,1989,3,5,50.936,43.907,76.935,301.041666666667,5.34,NA,30.1441666666667,NA
"87Q",-121.2847,35.6656,1989,3,6,72.2085714285714,43.5628571428571,66.397619047619,302.083333333333,9.83833333333333,NA,30.0325,NA
"87Q",-121.2847,35.6656,1989,3,7,63.455,48.011,80.703,298.541666666667,7.88,NA,29.845,NA
"87Q",-121.2847,35.6656,1989,3,8,57.6235294117647,50.5929411764706,89.7252941176471,240.208333333333,4.92166666666667,NA,29.8225,NA
"87Q",-121.2847,35.6656,1989,3,9,78.164,44.204,59.88,112.708333333333,12.4316666666667,NA,29.8916666666667,NA
"87Q",-121.2847,35.6656,1989,3,10,68.711,48.074,76.002,103.333333333333,9.505,NA,30.0241666666667,NA
"87Q",-121.2847,35.6656,1989,3,11,53.804,53.468,98.7966666666667,135.208333333333,7.79666666666667,NA,30.07875,NA
"87Q",-121.2847,35.6656,1989,3,12,70.3778947368421,46.5894736842105,73.0563157894737,251.666666666667,7.675,NA,30.1033333333333,NA
"87Q",-121.2847,35.6656,1989,3,13,77.5086956521739,42.8626086956522,60.8613043478261,298.958333333333,18.5483333333333,NA,30.1260869565217,NA
"87Q",-121.2847,35.6656,1989,3,14,80.9282352941176,40.2058823529412,48.7935294117647,299.166666666667,14.89,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,15,57.8247058823529,44.7588235294118,77.9394117647059,286.041666666667,9.38833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,16,84.3457142857143,40.5714285714286,50.6519047619048,222.291666666667,10.7183333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,17,62.3771428571429,41.4714285714286,66.7861904761905,290,7.21166666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,18,81.32,40.3657142857143,46.9480952380952,306.666666666667,9.76166666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,19,70.4136363636364,47.2754545454545,71.8713636363636,303.958333333333,11.675,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,20,74.5945454545455,44.3545454545455,65.6240909090909,297.083333333333,8.08833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,21,68.5890909090909,45.1890909090909,69.3927272727273,279.375,7.005,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,22,51.845,49.892,93.308,301.25,11.2116666666667,NA,29.9995833333333,NA
"87Q",-121.2847,35.6656,1989,3,23,80.0126315789474,41,53.9626315789474,284.375,11.475,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,24,58.3652631578947,46.9115789473684,84.3252631578947,136.041666666667,10.5483333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,25,81.356,43.907,59.953,168.333333333333,8.92833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,26,68.4831578947368,40.0715789473684,61.7742105263158,268.541666666667,14.2133333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,27,57.4463157894737,45.1968421052632,76.8552631578947,299.583333333333,12.3,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,28,66.767,46.238,74.903,295.416666666667,11.5466666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,29,75.6663636363636,44.0927272727273,62.7831818181818,296.25,14.5516666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,30,61.907,45.059,76.66,263.75,9.17166666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,3,31,59.666,47.291,78.2145,299.583333333333,11.5866666666667,NA,30.0504761904762,NA
"87Q",-121.2847,35.6656,1989,4,1,69.87875,42.87875,60.6925,295.625,17.32,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,2,52.268,48.944,88.686,296.739130434783,13.3113043478261,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,3,74.8321739130435,44.584347826087,64.0447826086957,296.875,17.135,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,4,67.9147368421053,44.2115789473684,63.4315789473684,276.041666666667,7.755,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,5,62.7227272727273,46.58,56.8390909090909,281.666666666667,5.12666666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,6,62.36,49.33,64.4327777777778,270.416666666667,6.17333333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,7,68.4023529411765,49.8517647058824,66.3617647058824,287.291666666667,5.71666666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,8,61.16,54.005,77.8858333333333,299.375,5.46833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,9,56.816,52.796,86.6626666666667,105.238095238095,7.19428571428571,NA,29.9971428571429,NA
"87Q",-121.2847,35.6656,1989,4,10,92.744,41.948,47.1953333333333,192.954545454545,6.60727272727273,NA,29.9961904761905,NA
"87Q",-121.2847,35.6656,1989,4,11,78.2985714285714,43.0314285714286,59.1142857142857,285.208333333333,14.6366666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,12,59.52,48.71,85.2527777777778,200,5.34166666666667,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,13,62.3247058823529,50.2858823529412,84.5270588235294,278.260869565217,4.58833333333333,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,14,64.9261538461539,48.3661538461538,77.8623076923077,255.681818181818,5.33090909090909,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,15,52.01375,49.4825,91.27,302.045454545455,7.91454545454545,NA,30,NA
"87Q",-121.2847,35.6656,1989,4,16,79.5971428571429,42.6885714285714,58.88,249.166666666667,4.88333333333333,NA,30,NA
