"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"CCR",-122.0526,37.9916,1989,1,1,53.06,39.02,58.77,206.25,1.908,NA,30.132,NA
"CCR",-122.0526,37.9916,1989,1,2,40.87625,36.57875,85.530625,101.666666666667,2.5,NA,30.1738888888889,NA
"CCR",-122.0526,37.9916,1989,1,3,40.3,38.08,91.91,170.25,4.9,NA,30.212,NA
"CCR",-122.0526,37.9916,1989,1,4,38.1225,36.54375,94.100625,132.894736842105,3.42105263157895,NA,30.1078947368421,NA
"CCR",-122.0526,37.9916,1989,1,5,45.55625,43.14875,91.87125,157.5,7.0625,NA,30.06875,NA
"CCR",-122.0526,37.9916,1989,1,6,42.9164705882353,34.9752941176471,74.7988235294118,246.470588235294,8.58823529411765,NA,30.2505882352941,NA
"CCR",-122.0526,37.9916,1989,1,7,44.3988235294118,38.48,80.23,108.823529411765,5.35294117647059,NA,30.3058823529412,NA
"CCR",-122.0526,37.9916,1989,1,8,41.0423529411765,36.8494117647059,85.3747058823529,82.9411764705882,2.52941176470588,NA,30.4864705882353,NA
"CCR",-122.0526,37.9916,1989,1,9,44.2952941176471,41.5941176470588,90.4247058823529,106.842105263158,5.16,NA,30.5157894736842,NA
"CCR",-122.0526,37.9916,1989,1,10,50.3825,46.6925,87.441875,136.315789473684,7.31578947368421,NA,30.3305263157895,NA
"CCR",-122.0526,37.9916,1989,1,11,49.82,34.9025,57.850625,238.125,9.875,NA,30.38875,NA
"CCR",-122.0526,37.9916,1989,1,12,47.795,30.47,51.434375,53.125,7.875,NA,30.499375,NA
"CCR",-122.0526,37.9916,1989,1,13,41.2314285714286,33.0928571428571,74.3728571428571,136.470588235294,5.53411764705882,NA,30.3888235294118,NA
"CCR",-122.0526,37.9916,1989,1,14,52.592,40.172,63.794,197.8125,5.72,NA,30.3894117647059,NA
"CCR",-122.0526,37.9916,1989,1,15,44.5047058823529,36.7435294117647,75.5558823529412,133.529411764706,2.82352941176471,NA,30.4658823529412,NA
"CCR",-122.0526,37.9916,1989,1,16,46.1670588235294,37.04,72.4188235294118,164.117647058824,2.35294117647059,NA,30.4552941176471,NA
"CCR",-122.0526,37.9916,1989,1,17,47.7670588235294,41.7411764705882,81.29,50,1.33333333333333,NA,30.372380952381,NA
"CCR",-122.0526,37.9916,1989,1,18,46.3129411764706,41.0517647058824,83.19,151.25,3.104,NA,30.3005,NA
"CCR",-122.0526,37.9916,1989,1,19,47.8870588235294,41.5317647058824,80.5982352941176,147.368421052632,3.42857142857143,NA,30.1971428571429,NA
"CCR",-122.0526,37.9916,1989,1,20,50.17875,44.13875,82.538125,118.529411764706,3.94444444444444,NA,30.1533333333333,NA
"CCR",-122.0526,37.9916,1989,1,21,48.23375,43.19375,84.1275,156.190476190476,3.57142857142857,NA,30.0961904761905,NA
"CCR",-122.0526,37.9916,1989,1,22,48.72,45.4257142857143,88.6792857142857,139.444444444444,2.21714285714286,NA,29.9957142857143,NA
"CCR",-122.0526,37.9916,1989,1,23,47.84,44.24,87.7442857142857,135,5.5,NA,29.9228571428571,NA
"CCR",-122.0526,37.9916,1989,1,24,48.008,40.796,78.7086666666667,85.8823529411765,2.05555555555556,NA,30.0844444444444,NA
"CCR",-122.0526,37.9916,1989,1,25,51.6875,35.51,55.095625,143.125,8.5,NA,30.1525,NA
"CCR",-122.0526,37.9916,1989,1,26,50.2964705882353,38.0035294117647,65.2794117647059,30,4.94117647058824,NA,30.1947058823529,NA
"CCR",-122.0526,37.9916,1989,1,27,49.43875,39.8075,71.568125,103.823529411765,2.70823529411765,NA,30.2082352941176,NA
"CCR",-122.0526,37.9916,1989,1,28,49.3670588235294,43.5835294117647,81.7776470588235,280.526315789474,6.00631578947368,NA,30.2384210526316,NA
"CCR",-122.0526,37.9916,1989,1,29,49.7011764705882,44.4705882352941,84.28,190.882352941176,5.70588235294118,NA,30.2017647058824,NA
"CCR",-122.0526,37.9916,1989,1,30,51.4882352941177,42.8305882352941,74.32,150.714285714286,3.38095238095238,NA,30.2028571428571,NA
"CCR",-122.0526,37.9916,1989,1,31,49.9271428571429,43.9414285714286,81.2592857142857,222.222222222222,2.12470588235294,NA,30.0776470588235,NA
"CCR",-122.0526,37.9916,1989,2,1,48.2675,42.26,80.2675,246.5,11.6,NA,29.963,NA
"CCR",-122.0526,37.9916,1989,2,2,45.0909090909091,34.5363636363636,67.6981818181818,221.5625,9.065,NA,30.08375,NA
"CCR",-122.0526,37.9916,1989,2,3,44.6,40.94,87.482,171.764705882353,6.64705882352941,NA,30.1176470588235,NA
"CCR",-122.0526,37.9916,1989,2,4,41.1164705882353,34.2235294117647,77.3858823529412,213.529411764706,6.47058823529412,NA,30.0776470588235,NA
"CCR",-122.0526,37.9916,1989,2,5,37.1882352941176,22.1952941176471,56.5588235294118,114.705882352941,8.29411764705882,NA,30.2064705882353,NA
"CCR",-122.0526,37.9916,1989,2,6,38.01875,14.48375,38.014375,54.375,12.375,NA,30.3025,NA
"CCR",-122.0526,37.9916,1989,2,7,37.8552941176471,17.1023529411765,43.9276470588235,36.4705882352941,7.05882352941176,NA,30.3088235294118,NA
"CCR",-122.0526,37.9916,1989,2,8,39.50375,19.11875,45.011875,60.5882352941176,7.76470588235294,NA,30.2182352941176,NA
"CCR",-122.0526,37.9916,1989,2,9,39.59375,38.435,95.70875,62.2222222222222,8.5,NA,30.2188888888889,NA
"CCR",-122.0526,37.9916,1989,2,10,41.9675,41.79875,99.364375,70,5,NA,30.40875,NA
"CCR",-122.0526,37.9916,1989,2,11,44.3564705882353,42.1329411764706,92.7670588235294,133.157894736842,3.10526315789474,NA,30.4352631578947,NA
"CCR",-122.0526,37.9916,1989,2,12,48.9941176470588,41.8258823529412,77.9541176470588,137.647058823529,4,NA,30.2835294117647,NA
"CCR",-122.0526,37.9916,1989,2,13,48.2317647058824,39.1788235294118,73.4129411764706,121.176470588235,4.64705882352941,NA,30.1247058823529,NA
"CCR",-122.0526,37.9916,1989,2,14,48.48125,37.1975,66.439375,112.5,4.5625,NA,30.124375,NA
"CCR",-122.0526,37.9916,1989,2,15,47.4588235294118,39.7611764705882,76.1164705882353,50.5882352941176,3.88235294117647,NA,30.2875,NA
"CCR",-122.0526,37.9916,1989,2,16,52.1552941176471,45.3576470588235,78.6123529411765,206.5625,4.35764705882353,NA,30.3670588235294,NA
"CCR",-122.0526,37.9916,1989,2,17,52.8675,46.50125,80.208125,238.333333333333,4.88,NA,30.30625,NA
"CCR",-122.0526,37.9916,1989,2,18,54.0976470588235,49.5870588235294,85.1158823529412,205.294117647059,7.35294117647059,NA,30.1035294117647,NA
"CCR",-122.0526,37.9916,1989,2,19,56.2470588235294,52.1282352941176,87.1117647058824,162.352941176471,6.17647058823529,NA,30.0617647058824,NA
"CCR",-122.0526,37.9916,1989,2,20,53.81375,49.55,85.921875,201.25,5.25,NA,30.205625,NA
"CCR",-122.0526,37.9916,1989,2,21,57.644,54.128,88.4033333333333,75.625,3.565,NA,30.27375,NA
"CCR",-122.0526,37.9916,1989,2,22,59.0529411764706,55.4105882352941,87.9958823529412,158.947368421053,6.68421052631579,NA,30.2473684210526,NA
"CCR",-122.0526,37.9916,1989,2,23,53.5364705882353,48.5388235294118,83.7129411764706,238.235294117647,6.41176470588235,NA,30.2211764705882,NA
"CCR",-122.0526,37.9916,1989,2,24,52.4247058823529,46.5376470588235,80.9529411764706,214.705882352941,4.82352941176471,NA,30.1482352941176,NA
"CCR",-122.0526,37.9916,1989,2,25,53.78,47.8823529411765,80.9017647058824,105,5.83333333333333,NA,30.2038888888889,NA
"CCR",-122.0526,37.9916,1989,2,26,56.0141176470588,53.5788235294118,91.8117647058824,104.705882352941,3.29411764705882,NA,30.2164705882353,NA
"CCR",-122.0526,37.9916,1989,2,27,59.7352941176471,50.36,77.9035294117647,119.411764705882,2.88235294117647,NA,30.1117647058824,NA
"CCR",-122.0526,37.9916,1989,2,28,55.4094117647059,35.6317647058824,50.3264705882353,266.176470588235,7.12235294117647,NA,29.9458823529412,NA
"CCR",-122.0526,37.9916,1989,3,1,50.918,43.322,75.28,219,7.3,NA,30.033,NA
