"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"HWD",-122.1212,37.6588,1989,1,1,42.44,33.638,72.776,62,2,NA,30.113,NA
"HWD",-122.1212,37.6588,1989,1,2,44.108,36.164,74.396,55,1.25,NA,30.12875,NA
"HWD",-122.1212,37.6588,1989,1,3,46.6442857142857,38.9942857142857,75.2578571428571,58.6666666666667,2.33333333333333,NA,30.152,NA
"HWD",-122.1212,37.6588,1989,1,4,47.4285714285714,39.0714285714286,73.1121428571429,30,2.13333333333333,NA,30.0366666666667,NA
"HWD",-122.1212,37.6588,1989,1,5,47.8613333333333,42.548,82.0826666666667,221.333333333333,5.52941176470588,NA,30.0447058823529,NA
"HWD",-122.1212,37.6588,1989,1,6,43.1,34.748,72.8293333333333,129.375,3.875,NA,30.23625,NA
"HWD",-122.1212,37.6588,1989,1,7,43.784,38.06,80.8506666666667,62.5,1.4375,NA,30.285625,NA
"HWD",-122.1212,37.6588,1989,1,8,43.124,35.6,75.6953333333333,19.375,0.5,NA,30.44875,NA
"HWD",-122.1212,37.6588,1989,1,9,48.2613333333333,43.204,83.2426666666667,69.2105263157895,2.52842105263158,NA,30.4642105263158,NA
"HWD",-122.1212,37.6588,1989,1,10,49.588,46.0573333333333,87.9773333333333,175.882352941176,5.53052631578947,NA,30.3047368421053,NA
"HWD",-122.1212,37.6588,1989,1,11,49.7171428571429,34.0057142857143,56.86,210,7.66666666666667,NA,30.3506666666667,NA
"HWD",-122.1212,37.6588,1989,1,12,49.9357142857143,27.8857142857143,43.9842857142857,50.6666666666667,3.06666666666667,NA,30.4566666666667,NA
"HWD",-122.1212,37.6588,1989,1,13,46.544,33.908,63.2346666666667,28.125,1.4375,NA,30.355,NA
"HWD",-122.1212,37.6588,1989,1,14,44.996,36.368,72.3557142857143,106.666666666667,2.66666666666667,NA,30.36625,NA
"HWD",-122.1212,37.6588,1989,1,15,44.36,36.428,74.9693333333333,98.75,1.875,NA,30.44125,NA
"HWD",-122.1212,37.6588,1989,1,16,47.264,37.448,69.3653333333333,73.125,1.5,NA,30.418125,NA
"HWD",-122.1212,37.6588,1989,1,17,45.1242857142857,41.8671428571429,89.4092857142857,58.6666666666667,0.894736842105263,NA,30.3405263157895,NA
"HWD",-122.1212,37.6588,1989,1,18,51.46,42.8386666666667,75.1506666666667,76,0.875,NA,30.2525,NA
"HWD",-122.1212,37.6588,1989,1,19,54.6786666666667,41.6266666666667,63.0693333333333,8.75,0.565,NA,30.133125,NA
"HWD",-122.1212,37.6588,1989,1,20,54.0973333333333,41.9866666666667,65.1286666666667,13.3333333333333,1.0625,NA,30.091875,NA
"HWD",-122.1212,37.6588,1989,1,21,53.1613333333333,43.2173333333333,69.8106666666667,108.461538461538,2.00222222222222,NA,30.0511111111111,NA
"HWD",-122.1212,37.6588,1989,1,22,48.7157142857143,44.9471428571429,87.2807142857143,92.8571428571429,2.07142857142857,NA,29.9678571428571,NA
"HWD",-122.1212,37.6588,1989,1,23,47.9,43.43,84.86,87.6923076923077,3.61538461538462,NA,29.8884615384615,NA
"HWD",-122.1212,37.6588,1989,1,24,48.3661538461538,41.4569230769231,78.3584615384615,144,5.46933333333333,NA,30.0457142857143,NA
"HWD",-122.1212,37.6588,1989,1,25,52.4814285714286,33.7228571428571,50.8721428571429,48.6666666666667,7.53333333333333,NA,30.1286666666667,NA
"HWD",-122.1212,37.6588,1989,1,26,51.524,37.94,61.0006666666667,48.125,1.3125,NA,30.170625,NA
"HWD",-122.1212,37.6588,1989,1,27,48.992,39.5133333333333,70.97,62.1428571428571,0.777777777777778,NA,30.1823529411765,NA
"HWD",-122.1212,37.6588,1989,1,28,48.2013333333333,43.8133333333333,85.0486666666667,96,1.63,NA,30.214375,NA
"HWD",-122.1212,37.6588,1989,1,29,49.9893333333333,42.8746666666667,80.1693333333333,18.125,0.411764705882353,NA,30.1782352941176,NA
"HWD",-122.1212,37.6588,1989,1,30,55.16,42.272,62.4973333333333,67.5,1.125,NA,30.156875,NA
