"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"IZA",-120.0756,34.6068,1992,7,1,55.4,32,40.9,NA,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1992,7,2,NA,NA,NA,95,1.75,NA,29.9225,NA
"IZA",-120.0756,34.6068,1992,7,3,NA,NA,NA,0,0,NA,29.84,NA
"IZA",-120.0756,34.6068,1992,7,4,NA,NA,NA,0,0,NA,29.9433333333333,NA
"IZA",-120.0756,34.6068,1992,7,5,55.9,32,40.1,0,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1992,7,6,NA,NA,NA,260,3,NA,29.91,NA
"IZA",-120.0756,34.6068,1992,7,7,50.9,32,48.17,335,3.04,NA,29.97,NA
"IZA",-120.0756,34.6068,1992,7,8,68,32,26.15,0,0,NA,30.005,NA
"IZA",-120.0756,34.6068,1992,7,9,65.8,32,28.22,0,0,NA,30.025,NA
"IZA",-120.0756,34.6068,1992,7,10,65.8,32,28.22,225,4.5,NA,29.98,NA
"IZA",-120.0756,34.6068,1992,7,11,NA,NA,NA,0,0,NA,29.9,NA
"IZA",-120.0756,34.6068,1992,7,12,70.45,32,24.09,213.888888888889,7.9,NA,29.896,NA
"IZA",-120.0756,34.6068,1992,7,13,69.45,32,24.995,186.25,4.808,NA,29.91,NA
"IZA",-120.0756,34.6068,1992,7,14,NA,NA,NA,150,1.75,NA,29.99,NA
"IZA",-120.0756,34.6068,1992,7,15,NA,NA,NA,275,3,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,7,16,58.45,32,36.59,NA,0,NA,29.9,NA
"IZA",-120.0756,34.6068,1992,7,17,57.9,32,37.31,125,1.33333333333333,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,7,18,56.8,32,38.82,280,1,NA,30.0133333333333,NA
"IZA",-120.0756,34.6068,1992,7,19,NA,NA,NA,166.666666666667,2.66666666666667,NA,30.0133333333333,NA
"IZA",-120.0756,34.6068,1992,7,20,NA,NA,NA,140,2,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,7,21,55.9,32,40.1,135,1.66666666666667,NA,29.92,NA
"IZA",-120.0756,34.6068,1992,7,22,NA,NA,NA,250,5,NA,29.95,NA
"IZA",-120.0756,34.6068,1992,7,23,NA,NA,NA,135,1.5,NA,29.94,NA
"IZA",-120.0756,34.6068,1992,7,24,54,32,42.98,305,2.66666666666667,NA,29.9666666666667,NA
"IZA",-120.0756,34.6068,1992,7,25,NA,NA,NA,80,1.5,NA,30.05,NA
"IZA",-120.0756,34.6068,1992,7,26,NA,NA,NA,65,1,NA,30.075,NA
"IZA",-120.0756,34.6068,1992,7,27,52.9,32,NA,305,4,NA,30.03,NA
"IZA",-120.0756,34.6068,1992,7,28,52.9,32,44.74,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1992,7,29,57.4,32,38.16,270,3.52,NA,29.965,NA
"IZA",-120.0756,34.6068,1992,7,30,NA,NA,NA,0,0,NA,29.94,NA
"IZA",-120.0756,34.6068,1992,7,31,50,32,49.81,0,0,NA,29.9866666666667,NA
"IZA",-120.0756,34.6068,1992,8,1,NA,NA,NA,100,1.5,NA,30.035,NA
"IZA",-120.0756,34.6068,1992,8,2,61.9,32,32.35,NA,0,NA,29.99,NA
"IZA",-120.0756,34.6068,1992,8,5,54.9,32,41.59,NA,0,NA,29.95,NA
"IZA",-120.0756,34.6068,1992,8,6,NA,NA,NA,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1992,8,7,NA,NA,NA,23.3333333333333,1,NA,29.9833333333333,NA
"IZA",-120.0756,34.6068,1992,8,8,NA,NA,NA,0,0,NA,30.01,NA
"IZA",-120.0756,34.6068,1992,8,9,NA,NA,NA,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1992,8,10,NA,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1992,8,12,NA,NA,NA,0,0,NA,29.91,NA
"IZA",-120.0756,34.6068,1992,8,13,NA,NA,NA,76.6666666666667,1,NA,29.8533333333333,NA
"IZA",-120.0756,34.6068,1992,8,14,61.9,32,32.35,250,4,NA,29.97,NA
"IZA",-120.0756,34.6068,1992,8,15,56.8,32,38.82,NA,0,NA,30.01,NA
"IZA",-120.0756,34.6068,1992,8,16,NA,NA,NA,180,3,NA,29.91,NA
"IZA",-120.0756,34.6068,1992,8,18,55.9,32,40.1,NA,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1992,8,19,54,32,42.98,225,4,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,8,20,52.9,32,44.74,280,1.5,NA,29.91,NA
"IZA",-120.0756,34.6068,1992,8,21,54.9333333333333,32,41.5933333333333,158.333333333333,1.52,NA,29.905,NA
"IZA",-120.0756,34.6068,1992,8,22,NA,NA,NA,140,3,NA,29.93,NA
"IZA",-120.0756,34.6068,1992,8,23,47.8,32,54.07,0,0,NA,29.84,NA
"IZA",-120.0756,34.6068,1992,8,24,NA,NA,NA,0,0,NA,29.81,NA
"IZA",-120.0756,34.6068,1992,8,25,59,32,35.87,115,4,NA,30.01,NA
"IZA",-120.0756,34.6068,1992,8,26,54,32,42.98,205,2,NA,30.0733333333333,NA
"IZA",-120.0756,34.6068,1992,8,27,NA,NA,NA,240,3,NA,30.08,NA
"IZA",-120.0756,34.6068,1992,8,28,52.9,32,44.74,271.666666666667,5.68,NA,30.07,NA
"IZA",-120.0756,34.6068,1992,8,29,NA,NA,NA,0,0,NA,30.05,NA
"IZA",-120.0756,34.6068,1992,9,1,NA,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1992,9,2,NA,NA,NA,0,0,NA,30.01,NA
"IZA",-120.0756,34.6068,1992,9,3,57.9,32,37.31,NA,0,NA,30.03,NA
"IZA",-120.0756,34.6068,1992,9,8,NA,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1992,9,9,NA,NA,NA,0,0,NA,29.935,NA
"IZA",-120.0756,34.6068,1992,9,10,NA,NA,NA,0,0,NA,29.93,NA
"IZA",-120.0756,34.6068,1992,9,11,57.9,32,37.31,0,0,NA,29.935,NA
"IZA",-120.0756,34.6068,1992,9,14,NA,NA,NA,0,0,NA,29.85,NA
"IZA",-120.0756,34.6068,1992,9,15,54,32,42.98,NA,0,NA,29.82,NA
"IZA",-120.0756,34.6068,1992,9,16,NA,NA,NA,45,2,NA,29.93,NA
"IZA",-120.0756,34.6068,1992,9,17,NA,NA,NA,260,3,NA,29.94,NA
"IZA",-120.0756,34.6068,1992,9,21,52.45,32,45.495,0,0,NA,29.85,NA
"IZA",-120.0756,34.6068,1992,9,22,NA,NA,NA,0,0,NA,29.93,NA
"IZA",-120.0756,34.6068,1992,9,23,48.9,32,51.89,NA,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1992,9,24,50.9,32,48.17,230,1.5,NA,29.89,NA
"IZA",-120.0756,34.6068,1992,9,25,46.9,32,55.94,22.5,3.02,NA,29.8,NA
"IZA",-120.0756,34.6068,1992,9,28,NA,NA,NA,0,0,NA,29.93,NA
"IZA",-120.0756,34.6068,1992,9,29,NA,NA,NA,0,0,NA,29.9466666666667,NA
"IZA",-120.0756,34.6068,1992,9,30,52,32,46.25,295,3.04,NA,30.03,NA
"IZA",-120.0756,34.6068,1992,10,1,59.9,32,34.83,150,4.01,NA,29.955,NA
"IZA",-120.0756,34.6068,1992,10,2,55.9,32,40.1,255,7,NA,29.91,NA
"IZA",-120.0756,34.6068,1992,10,5,NA,NA,NA,0,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1992,10,6,NA,NA,NA,130,3,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,10,7,NA,NA,NA,0,0,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,10,8,NA,NA,NA,3.33333333333333,1,NA,29.9466666666667,NA
"IZA",-120.0756,34.6068,1992,10,12,48.9,32,51.89,0,0,NA,30.012,NA
"IZA",-120.0756,34.6068,1992,10,13,59,32,35.87,128.333333333333,4.34666666666667,NA,29.9333333333333,NA
"IZA",-120.0756,34.6068,1992,10,14,56.8,32,38.82,285,6,NA,29.935,NA
"IZA",-120.0756,34.6068,1992,10,15,43.9,32,62.68,315,4.02,NA,30.105,NA
"IZA",-120.0756,34.6068,1992,10,16,45,32,60.11,52.5,3.02,NA,30.12,NA
"IZA",-120.0756,34.6068,1992,10,18,NA,NA,NA,120,3,NA,30.06,NA
"IZA",-120.0756,34.6068,1992,10,20,NA,NA,NA,0,0,NA,29.96,NA
"IZA",-120.0756,34.6068,1992,10,21,NA,NA,NA,120,8,NA,29.93,NA
"IZA",-120.0756,34.6068,1992,10,22,NA,NA,NA,145,1.5,NA,30.095,NA
"IZA",-120.0756,34.6068,1992,10,25,54.9,32,41.59,250,3.04,NA,30.07,NA
"IZA",-120.0756,34.6068,1992,10,26,NA,NA,NA,90,3,NA,30.05,NA
"IZA",-120.0756,34.6068,1992,10,27,NA,NA,NA,210,4.5,NA,29.97,NA
"IZA",-120.0756,34.6068,1992,10,28,57.9,32,37.31,318.333333333333,3.01333333333333,NA,29.9466666666667,NA
"IZA",-120.0756,34.6068,1992,10,30,59.9,32,34.73,266.666666666667,4.33333333333333,NA,29.8866666666667,NA
"IZA",-120.0756,34.6068,1992,11,1,55.9,32,40.1,205,8,NA,30.21,NA
"IZA",-120.0756,34.6068,1992,11,2,NA,NA,NA,230,6,NA,30.09,NA
"IZA",-120.0756,34.6068,1992,11,3,NA,NA,NA,40,4,NA,30,NA
"IZA",-120.0756,34.6068,1992,11,9,NA,NA,NA,0,0,NA,29.94,NA
"IZA",-120.0756,34.6068,1992,11,10,NA,NA,NA,0,0,NA,30.08,NA
"IZA",-120.0756,34.6068,1992,11,11,NA,NA,NA,80,4,NA,30.26,NA
"IZA",-120.0756,34.6068,1992,11,12,NA,NA,NA,0,0,NA,30.22,NA
"IZA",-120.0756,34.6068,1992,11,16,43.9,32,62.68,90,4.33333333333333,NA,30.0766666666667,NA
"IZA",-120.0756,34.6068,1992,11,17,NA,NA,NA,0,0,NA,30.07,NA
"IZA",-120.0756,34.6068,1992,11,18,NA,NA,NA,105,3,NA,30.005,NA
"IZA",-120.0756,34.6068,1992,11,19,NA,NA,NA,40,3,NA,30.15,NA
"IZA",-120.0756,34.6068,1992,11,20,NA,NA,NA,320,13,NA,30.06,NA
"IZA",-120.0756,34.6068,1992,11,21,NA,NA,NA,0,0,NA,30.2,NA
"IZA",-120.0756,34.6068,1992,11,22,47.8,32,54.07,180,4,NA,30.01,NA
"IZA",-120.0756,34.6068,1992,11,23,36.9,32,82.25,115,5.04,NA,29.94,NA
"IZA",-120.0756,34.6068,1992,11,24,NA,NA,NA,0,0,NA,30.03,NA
"IZA",-120.0756,34.6068,1992,12,2,36,32,85.23,NA,0,NA,NA,NA
"IZA",-120.0756,34.6068,1992,12,3,NA,NA,NA,190,7.5,NA,29.9,NA
"IZA",-120.0756,34.6068,1992,12,6,NA,NA,NA,115,14.5,NA,30.03,NA
"IZA",-120.0756,34.6068,1992,12,7,52,32,46.25,115,7.04,NA,29.82,NA
"IZA",-120.0756,34.6068,1992,12,8,45,32,60.11,315,5.04,NA,30.12,NA
"IZA",-120.0756,34.6068,1992,12,9,54.9,32,41.59,0,0,NA,30.29,NA
"IZA",-120.0756,34.6068,1992,12,10,NA,NA,NA,40,3,NA,30.21,NA
"IZA",-120.0756,34.6068,1992,12,11,NA,NA,NA,270,5,NA,30.07,NA
"IZA",-120.0756,34.6068,1992,12,13,NA,NA,NA,0,0,NA,30.18,NA
"IZA",-120.0756,34.6068,1992,12,14,NA,NA,NA,80,4,NA,30.17,NA
"IZA",-120.0756,34.6068,1992,12,15,NA,NA,NA,0,0,NA,30.03,NA
"IZA",-120.0756,34.6068,1992,12,16,NA,NA,NA,0,0,NA,30.11,NA
"IZA",-120.0756,34.6068,1992,12,19,NA,NA,NA,0,0,NA,30.22,NA
"IZA",-120.0756,34.6068,1992,12,21,NA,NA,NA,NA,0,NA,30.2,NA
"IZA",-120.0756,34.6068,1992,12,22,NA,NA,NA,0,0,NA,30.22,NA
"IZA",-120.0756,34.6068,1992,12,23,NA,NA,NA,0,0,NA,30.255,NA
"IZA",-120.0756,34.6068,1992,12,24,NA,NA,NA,0,0,NA,30.2,NA
"IZA",-120.0756,34.6068,1992,12,31,NA,NA,NA,220,5.5,NA,30.17,NA
"IZA",-120.0756,34.6068,1993,1,1,NA,NA,NA,120,1.5,NA,30.06,NA
"IZA",-120.0756,34.6068,1993,1,2,NA,NA,NA,150,3,NA,29.98,NA
"IZA",-120.0756,34.6068,1993,1,4,NA,NA,NA,0,0,NA,30.16,NA
"IZA",-120.0756,34.6068,1993,1,6,52,32,46.25,118.333333333333,6.68,NA,29.77,NA
"IZA",-120.0756,34.6068,1993,1,7,NA,NA,NA,130,6,NA,29.79,NA
"IZA",-120.0756,34.6068,1993,1,8,NA,NA,NA,162.5,4.25,NA,29.77,NA
"IZA",-120.0756,34.6068,1993,1,9,NA,NA,NA,250,5,NA,29.8,NA
"IZA",-120.0756,34.6068,1993,1,10,NA,NA,NA,282,6.2,NA,29.726,NA
"IZA",-120.0756,34.6068,1993,1,12,NA,NA,NA,140,18,NA,29.95,NA
"IZA",-120.0756,34.6068,1993,1,13,55.9,32,40.1,220,12.25,NA,29.885,NA
"IZA",-120.0756,34.6068,1993,1,14,NA,NA,NA,130,8,NA,29.945,NA
"IZA",-120.0756,34.6068,1993,1,15,56.8,32,38.82,117.5,20,NA,29.985,NA
"IZA",-120.0756,34.6068,1993,1,18,NA,NA,NA,140,8,NA,29.7,NA
"IZA",-120.0756,34.6068,1993,1,25,NA,NA,NA,60,3,NA,30.17,NA
"IZA",-120.0756,34.6068,1993,1,30,NA,NA,NA,0,0,NA,30.03,NA
"IZA",-120.0756,34.6068,1993,2,8,NA,NA,NA,160,10,NA,29.49,NA
"IZA",-120.0756,34.6068,1993,2,9,45.9,32,58.09,NA,0,NA,29.93,NA
"IZA",-120.0756,34.6068,1993,2,12,NA,NA,NA,160,3,NA,30.19,NA
"IZA",-120.0756,34.6068,1993,2,16,NA,NA,NA,70,2.5,NA,30.05,NA
"IZA",-120.0756,34.6068,1993,2,17,NA,NA,NA,153.333333333333,13.6666666666667,NA,30.0766666666667,NA
"IZA",-120.0756,34.6068,1993,2,18,NA,NA,NA,145,27.5,NA,29.795,NA
"IZA",-120.0756,34.6068,1993,2,19,52,32,46.25,183.75,16.01,NA,29.725,NA
"IZA",-120.0756,34.6068,1993,2,20,NA,NA,NA,20,3,NA,29.91,NA
"IZA",-120.0756,34.6068,1993,2,21,43,32,64.88,135,4,NA,30.17,NA
"IZA",-120.0756,34.6068,1993,2,22,45.9,32,58.09,115,8,NA,30.18,NA
"IZA",-120.0756,34.6068,1993,2,23,NA,NA,NA,NA,NA,NA,30,NA
"IZA",-120.0756,34.6068,1993,2,24,45,32,60.11,315,5.04,NA,29.99,NA
"IZA",-120.0756,34.6068,1993,2,25,39.9,32,73.14,130,5.52,NA,30.075,NA
"IZA",-120.0756,34.6068,1993,2,26,52,32,46.25,77.5,5,NA,30.025,NA
"IZA",-120.0756,34.6068,1993,2,27,NA,NA,NA,60,6.5,NA,30.045,NA
"IZA",-120.0756,34.6068,1993,2,28,NA,NA,NA,60,2,NA,30.04,NA
"IZA",-120.0756,34.6068,1993,3,5,NA,NA,NA,0,0,NA,30.33,NA
"IZA",-120.0756,34.6068,1993,3,8,NA,NA,NA,0,0,NA,30.03,NA
"IZA",-120.0756,34.6068,1993,3,9,NA,NA,NA,0,0,NA,30.16,NA
"IZA",-120.0756,34.6068,1993,3,10,NA,NA,NA,0,0,NA,30.22,NA
"IZA",-120.0756,34.6068,1993,3,14,56.8,32,38.82,250,6,NA,30.04,NA
"IZA",-120.0756,34.6068,1993,3,15,NA,NA,NA,0,0,NA,30.16,NA
"IZA",-120.0756,34.6068,1993,3,16,NA,NA,NA,0,0,NA,30.2,NA
"IZA",-120.0756,34.6068,1993,3,17,55.9,32,40.1,295,3.04,NA,30.17,NA
"IZA",-120.0756,34.6068,1993,3,20,NA,NA,NA,0,0,NA,30.12,NA
"IZA",-120.0756,34.6068,1993,3,26,NA,NA,NA,100,4,NA,30.85,NA
"IZA",-120.0756,34.6068,1993,3,27,NA,NA,NA,146.666666666667,2.33333333333333,NA,30.05,NA
"IZA",-120.0756,34.6068,1993,3,31,NA,NA,NA,280,6,NA,30.1,NA
"IZA",-120.0756,34.6068,1993,5,12,52,32,46.25,335,9.04,NA,29.93,NA
"IZA",-120.0756,34.6068,1993,5,17,50,32,49.81,NA,0,NA,30.01,NA
"IZA",-120.0756,34.6068,1993,5,23,68,32,26.15,270,6,NA,29.95,NA
"IZA",-120.0756,34.6068,1993,7,20,NA,NA,NA,20,3,NA,30.04,NA
"IZA",-120.0756,34.6068,1993,7,24,NA,NA,NA,210,8,NA,29.99,NA
"IZA",-120.0756,34.6068,1993,7,26,NA,NA,NA,250,4,NA,30.01,NA
"IZA",-120.0756,34.6068,1994,1,31,63,32,31.12,205,10,NA,30.22,NA
"IZA",-120.0756,34.6068,1994,2,2,36.9,32,82.25,85,3.52,NA,30.15,NA
"IZA",-120.0756,34.6068,1994,2,4,52.9,32,44.74,NA,0,NA,30.02,NA
"IZA",-120.0756,34.6068,1994,2,8,43.9,32,62.68,0,0,NA,29.835,NA
"IZA",-120.0756,34.6068,1994,2,9,36.9,32,82.25,0,0,NA,30.25,NA
"IZA",-120.0756,34.6068,1994,2,10,36,32,85.23,0,0,NA,30.19,NA
"IZA",-120.0756,34.6068,1994,2,11,NA,NA,NA,350,12,NA,30.16,NA
"IZA",-120.0756,34.6068,1994,2,12,NA,NA,NA,0,0,NA,30.385,NA
"IZA",-120.0756,34.6068,1994,2,13,34.9,32,89.03,45,3.04,NA,30.33,NA
"IZA",-120.0756,34.6068,1994,2,14,32,32,100,NA,0,NA,30.15,NA
"IZA",-120.0756,34.6068,1994,2,16,53.4,32,44.315,272.5,2.34666666666667,NA,30.07,NA
"IZA",-120.0756,34.6068,1994,2,17,NA,NA,NA,250,6,NA,29.83,NA
"IZA",-120.0756,34.6068,1994,2,18,45.95,32,58.75,155,2.52,NA,29.915,NA
"IZA",-120.0756,34.6068,1994,2,19,32,32,100,NA,0,NA,30.04,NA
"IZA",-120.0756,34.6068,1994,4,16,57.9,32,37.31,270,4,NA,30.14,NA
"IZA",-120.0756,34.6068,1994,6,18,NA,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1994,6,22,50,32,49.81,90,2,NA,30.0433333333333,NA
"IZA",-120.0756,34.6068,1994,6,23,46.9,32,55.94,0,0,NA,30.03,NA
"IZA",-120.0756,34.6068,1994,6,24,56.8,32,38.82,NA,0,NA,29.98,NA
"IZA",-120.0756,34.6068,1994,6,25,50,32,49.81,0,0,NA,29.94,NA
"IZA",-120.0756,34.6068,1994,6,26,NA,NA,NA,0,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1994,6,28,NA,NA,NA,0,0,NA,29.985,NA
"IZA",-120.0756,34.6068,1994,6,29,50.9,32,48.17,225,3.04,NA,29.95,NA
"IZA",-120.0756,34.6068,1994,6,30,50.45,32,49.07,260,3.04,NA,29.93,NA
"IZA",-120.0756,34.6068,1994,7,14,56.8,32,38.82,270,8,NA,29.94,NA
"IZA",-120.0756,34.6068,1994,7,15,NA,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1994,8,2,50.9,32,48.17,NA,0,NA,30.01,NA
"IZA",-120.0756,34.6068,1994,8,3,50.9,32,48.17,173.333333333333,2.66666666666667,NA,29.9433333333333,NA
"IZA",-120.0756,34.6068,1994,8,22,NA,NA,NA,0,0,NA,29.98,NA
"IZA",-120.0756,34.6068,1994,8,23,NA,NA,NA,0,0,NA,30.015,NA
"IZA",-120.0756,34.6068,1994,9,22,54,32,42.98,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1994,11,9,NA,NA,NA,0,0,NA,30.07,NA
"IZA",-120.0756,34.6068,1994,11,11,39.9,32,73.14,25,3.04,NA,29.88,NA
"IZA",-120.0756,34.6068,1994,11,20,43.9,32,62.68,NA,0,NA,30.27,NA
"IZA",-120.0756,34.6068,1994,11,21,34,32,92.29,NA,0,NA,30.17,NA
"IZA",-120.0756,34.6068,1994,11,23,41.9,32,67.69,20,1.5,NA,30.3,NA
"IZA",-120.0756,34.6068,1994,11,24,41.35,32,69.51,45,1.52,NA,30.205,NA
"IZA",-120.0756,34.6068,1994,11,25,47.2333333333333,32,55.3066666666667,100,7.016,NA,30.208,NA
"IZA",-120.0756,34.6068,1994,11,26,47.9,32,53.99,337.5,11.51,NA,30.1775,NA
"IZA",-120.0756,34.6068,1994,11,27,37,32,83.37,112.5,3.01333333333333,NA,30.3766666666667,NA
"IZA",-120.0756,34.6068,1994,11,28,36,32,85.23,90,4,NA,30.23,NA
"IZA",-120.0756,34.6068,1994,12,8,34.9,32,89.03,115,4,NA,30.33,NA
"IZA",-120.0756,34.6068,1994,12,9,NA,NA,NA,0,0,NA,30.265,NA
"IZA",-120.0756,34.6068,1994,12,10,NA,NA,NA,70,3.5,NA,30.21,NA
"IZA",-120.0756,34.6068,1994,12,12,NA,NA,NA,110,6.5,NA,30.11,NA
"IZA",-120.0756,34.6068,1994,12,13,43.9,32,63.95,105,1.875,NA,30.14,NA
"IZA",-120.0756,34.6068,1994,12,14,41.45,32,72.09,256.666666666667,3,NA,30.16,NA
"IZA",-120.0756,34.6068,1994,12,22,45,32,60.11,NA,0,NA,30.06,NA
"IZA",-120.0756,34.6068,1994,12,23,50,32,49.81,50,2,NA,29.945,NA
"IZA",-120.0756,34.6068,1994,12,24,52.9,32,44.74,180,13.04,NA,29.96,NA
"IZA",-120.0756,34.6068,1994,12,26,36,32,85.23,173.333333333333,4.68,NA,30.1466666666667,NA
"IZA",-120.0756,34.6068,1994,12,27,38.8,32,76.34,115,5.04,NA,30.11,NA
"IZA",-120.0756,34.6068,1994,12,29,NA,NA,NA,60,4,NA,30.05,NA
"IZA",-120.0756,34.6068,1995,1,4,NA,NA,NA,80,15,NA,29.62,NA
"IZA",-120.0756,34.6068,1995,3,14,59.9,32,34.73,40,1.33333333333333,NA,30.2166666666667,NA
"IZA",-120.0756,34.6068,1995,3,26,56.5,32,39.425,NA,0,NA,30.2,NA
"IZA",-120.0756,34.6068,1995,6,7,57.48,42.44,57.93,0,0,NA,29.845,NA
"IZA",-120.0756,34.6068,1995,6,15,NA,NA,NA,90,4,NA,29.88,NA
"IZA",-120.0756,34.6068,1995,7,6,NA,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1995,7,15,65.8,32,28.22,NA,0,NA,29.91,NA
"IZA",-120.0756,34.6068,1995,7,16,NA,NA,NA,0,0,NA,29.96,NA
"IZA",-120.0756,34.6068,1996,7,1,64.4,NA,NA,0,0,NA,29.93,NA
"IZA",-120.0756,34.6068,1996,7,2,62.6,NA,NA,0,0,NA,29.86,NA
"IZA",-120.0756,34.6068,1996,7,4,75.2,NA,NA,168,3.2,NA,29.902,NA
"IZA",-120.0756,34.6068,1996,7,5,56,NA,NA,160,2.66666666666667,NA,29.93,NA
"IZA",-120.0756,34.6068,1996,7,6,63.05,NA,NA,130,3.25,NA,29.9675,NA
"IZA",-120.0756,34.6068,1996,7,7,55.4,32,43.61,0,0,NA,29.945,NA
"IZA",-120.0756,34.6068,1996,7,9,51.8,NA,NA,0,0,NA,29.9,NA
"IZA",-120.0756,34.6068,1996,7,10,51.8,NA,NA,0,0,NA,29.99,NA
"IZA",-120.0756,34.6068,1996,7,13,63.2,NA,NA,180,3.66666666666667,NA,29.9633333333333,NA
"IZA",-120.0756,34.6068,1996,7,14,56.3,NA,NA,0,0,NA,29.93,NA
"IZA",-120.0756,34.6068,1996,7,15,55.4,NA,NA,0,0,NA,29.96,NA
"IZA",-120.0756,34.6068,1996,7,16,56.3,NA,NA,0,0,NA,29.985,NA
"IZA",-120.0756,34.6068,1996,7,17,55.4,NA,NA,0,0,NA,29.975,NA
"IZA",-120.0756,34.6068,1996,7,18,51.8,NA,NA,70,7,NA,30.03,NA
"IZA",-120.0756,34.6068,1996,7,19,57.2,NA,NA,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1996,7,20,53.6,NA,NA,0,0,NA,29.94,NA
"IZA",-120.0756,34.6068,1996,7,21,73.4,NA,NA,0,0,NA,29.97,NA
"IZA",-120.0756,34.6068,1996,7,22,57.2,NA,NA,0,0,NA,30.05,NA
"IZA",-120.0756,34.6068,1996,7,23,54.5,NA,NA,275,3.5,NA,30.085,NA
"IZA",-120.0756,34.6068,1996,7,24,55.4,NA,NA,0,0,NA,30.01,NA
"IZA",-120.0756,34.6068,1996,7,25,53.6,NA,NA,360,NA,NA,29.93,NA
"IZA",-120.0756,34.6068,1996,7,26,57.2,NA,NA,0,0,NA,29.96,NA
"IZA",-120.0756,34.6068,1996,7,28,71.6,NA,NA,270,5,NA,30.04,NA
"IZA",-120.0756,34.6068,1996,7,29,56.3,NA,NA,0,0,NA,30.035,NA
"IZA",-120.0756,34.6068,1996,8,2,58.1,NA,NA,0,0,NA,29.955,NA
"IZA",-120.0756,34.6068,1996,8,3,60.8,NA,NA,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1996,8,8,55.4,NA,NA,135,1.5,NA,30.035,NA
"IZA",-120.0756,34.6068,1996,8,9,58.1,NA,NA,125,1.52,NA,29.98,NA
"IZA",-120.0756,34.6068,1996,8,12,66.2,NA,NA,0,0,NA,29.95,NA
"IZA",-120.0756,34.6068,1996,8,15,69.8,NA,NA,0,0,NA,29.99,NA
"IZA",-120.0756,34.6068,1996,8,16,64.4,NA,NA,0,0,NA,30,NA
"IZA",-120.0756,34.6068,1996,8,17,55.4,NA,NA,330,4,NA,30.01,NA
"IZA",-120.0756,34.6068,1996,8,18,59.9,NA,NA,115,7,NA,29.97,NA
"IZA",-120.0756,34.6068,1996,8,19,55.4,NA,NA,75,2,NA,30.05,NA
"IZA",-120.0756,34.6068,1996,8,21,57.2,NA,NA,0,0,NA,29.98,NA
"IZA",-120.0756,34.6068,1996,8,23,53.6,NA,NA,0,0,NA,29.945,NA
"IZA",-120.0756,34.6068,1996,8,24,50.9,NA,NA,145,3.5,NA,29.965,NA
"IZA",-120.0756,34.6068,1996,8,25,51.8,NA,NA,320,4,NA,29.93,NA
"IZA",-120.0756,34.6068,1996,8,31,75.2,NA,NA,0,0,NA,29.87,NA
"IZA",-120.0756,34.6068,1996,9,1,66.2,NA,NA,240,4,NA,29.88,NA
"IZA",-120.0756,34.6068,1996,9,4,57.2,NA,NA,0,0,NA,29.92,NA
"IZA",-120.0756,34.6068,1996,9,7,64.4,NA,NA,0,0,NA,29.91,NA
"IZA",-120.0756,34.6068,1996,9,9,51.8,NA,NA,0,0,NA,29.9,NA
"IZA",-120.0756,34.6068,1996,9,10,50,NA,NA,0,0,NA,29.95,NA
"IZA",-120.0756,34.6068,1996,9,11,55.4,NA,NA,140,4.66666666666667,NA,29.9766666666667,NA
"IZA",-120.0756,34.6068,1996,9,12,54.2,NA,NA,110,2.33333333333333,NA,29.9633333333333,NA
"IZA",-120.0756,34.6068,1996,9,14,60.8,NA,NA,40,4,NA,29.83,NA
"IZA",-120.0756,34.6068,1996,9,15,62.6,NA,NA,290,6,NA,29.92,NA
"IZA",-120.0756,34.6068,1996,9,17,64.4,NA,NA,0,0,NA,29.96,NA
"IZA",-120.0756,34.6068,1996,9,18,51.8,NA,NA,0,0,NA,29.99,NA
