"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"NSI",-119.4582,33.2398,1989,1,1,54.86,43.78,67.0022222222222,43.3333333333333,5.22222222222222,NA,29.9033333333333,1012.84444444444
"NSI",-119.4582,33.2398,1989,1,2,56.8236363636364,38.9709090909091,52.9563636363636,66.3636363636364,2.54545454545455,NA,30.0181818181818,1016.65454545455
"NSI",-119.4582,33.2398,1989,1,3,57.6581818181818,37.4490909090909,47.78,48.4615384615385,2.30769230769231,NA,30.0476923076923,1017.65454545455
"NSI",-119.4582,33.2398,1989,1,4,60.26,38.7418181818182,46.7990909090909,241.818181818182,9.45454545454546,NA,30.0045454545455,1016.1
"NSI",-119.4582,33.2398,1989,1,5,53.8127272727273,49.28,85.2472727272727,202.666666666667,8.73333333333333,NA,30.1364285714286,1020.34545454545
"NSI",-119.4582,33.2398,1989,1,6,50.8345454545455,36.3690909090909,58.8572727272727,305.384615384615,17.3076923076923,NA,30.1515384615385,1021.61818181818
"NSI",-119.4582,33.2398,1989,1,7,50.36,40.0018181818182,68.3545454545455,309.090909090909,12.4545454545455,NA,30.2445454545455,1024.2
"NSI",-119.4582,33.2398,1989,1,8,50.855,37.085,59.4625,282.5,8.75,NA,30.365,1028.34166666667
"NSI",-119.4582,33.2398,1989,1,9,52.7,38.9381818181818,60.3154545454545,305.454545454545,5.81818181818182,NA,30.32,1026.79090909091
"NSI",-119.4582,33.2398,1989,1,10,56.0709090909091,45.6309090909091,68.4154545454546,315.454545454545,13.9090909090909,NA,30.1254545454545,1020.34545454545
"NSI",-119.4582,33.2398,1989,1,11,55.595,38.03,53.8583333333333,206.923076923077,14.4615384615385,NA,30.1615384615385,1021.975
"NSI",-119.4582,33.2398,1989,1,12,55.5145454545455,30.8054545454545,40.0545454545455,149.090909090909,5.90909090909091,NA,30.3454545454545,1027.75454545455
"NSI",-119.4582,33.2398,1989,1,13,52.67,40.955,65.8425,320.833333333333,6.41666666666667,NA,30.3116666666667,1026.60833333333
"NSI",-119.4582,33.2398,1989,1,14,52.34,42.9309090909091,70.7454545454545,310.833333333333,14.3333333333333,NA,30.2518181818182,1024.66363636364
"NSI",-119.4582,33.2398,1989,1,15,52.34,41.5563636363636,67.6909090909091,307.272727272727,9.54545454545454,NA,30.2690909090909,1025.4
"NSI",-119.4582,33.2398,1989,1,16,56.4636363636364,36.3690909090909,49.4645454545455,314.545454545455,8.54545454545454,NA,30.22,1023.49090909091
"NSI",-119.4582,33.2398,1989,1,17,59.7363636363636,33.7672727272727,39.085,309.090909090909,6.9,NA,30.133,1020.48
"NSI",-119.4582,33.2398,1989,1,18,67.2938461538461,25.7138461538462,22.0984615384615,152.307692307692,3.38461538461538,NA,30.1146153846154,1019.92307692308
"NSI",-119.4582,33.2398,1989,1,19,68.4581818181818,28.94,24.5572727272727,113.333333333333,2.66666666666667,NA,30.0391666666667,1017.33636363636
"NSI",-119.4582,33.2398,1989,1,20,66.74,27.2872727272727,23.094,65,1.5,NA,30.03,1016.98181818182
"NSI",-119.4582,33.2398,1989,1,21,66.02,33.1781818181818,30.6418181818182,74.5454545454545,1.90909090909091,NA,29.9872727272727,1015.58181818182
"NSI",-119.4582,33.2398,1989,1,22,60.3745454545455,40.2581818181818,49.7654545454545,199.090909090909,3.63636363636364,NA,29.9336363636364,1013.67777777778
"NSI",-119.4582,33.2398,1989,1,23,52.3236363636364,48.8090909090909,88.1127272727273,195.789473684211,7.58105263157895,NA,29.8952631578947,1012.65
"NSI",-119.4582,33.2398,1989,1,24,53.9436363636364,48.8872727272727,83.4090909090909,295.833333333333,12.9166666666667,NA,29.93,1013.43636363636
"NSI",-119.4582,33.2398,1989,1,25,55.0072727272727,43.6345454545455,69.7181818181818,129.090909090909,4.09090909090909,NA,30.0145454545455,1016.59090909091
"NSI",-119.4582,33.2398,1989,1,26,59.3927272727273,32.4909090909091,37.2236363636364,200,7.36363636363636,NA,30.0990909090909,1019.31818181818
"NSI",-119.4582,33.2398,1989,1,27,56.51,42.155,61.2975,287.5,6.16666666666667,NA,30.1283333333333,1020.425
"NSI",-119.4582,33.2398,1989,1,28,53.4690909090909,44.4036363636364,71.6445454545455,302.307692307692,6.76923076923077,NA,30.1369230769231,1020.91818181818
"NSI",-119.4582,33.2398,1989,1,29,56.9072727272727,43.7327272727273,66.65,317.916666666667,4.08666666666667,NA,30.1041666666667,1019.72
"NSI",-119.4582,33.2398,1989,1,30,66.3472727272727,34.3727272727273,31.9627272727273,99.0909090909091,2.18181818181818,NA,30.0972727272727,1019.30909090909
"NSI",-119.4582,33.2398,1989,1,31,63.6472727272727,39.02,43.0118181818182,255.454545454545,2.45454545454545,NA,30.0336363636364,1017.19090909091
"NSI",-119.4582,33.2398,1989,2,1,53.66,45.58,74.5766666666667,270,6.9,NA,30.006,1016.25555555556
"NSI",-119.4582,33.2398,1989,2,2,53.3545454545455,43.4872727272727,69.5545454545455,292.727272727273,6.18181818181818,NA,30.0954545454545,1019.19090909091
"NSI",-119.4582,33.2398,1989,2,3,52.4709090909091,47.4145454545455,83.2190909090909,232.857142857143,6.42857142857143,NA,30.1642857142857,1021.52727272727
"NSI",-119.4582,33.2398,1989,2,4,52.394,49.82,90.938,272,14.5,NA,30.04,1017.32
"NSI",-119.4582,33.2398,1989,2,5,47.8236363636364,33.0963636363636,57.3609090909091,309.090909090909,10.1818181818182,NA,30.0709090909091,1018.36363636364
"NSI",-119.4582,33.2398,1989,2,6,46.0890909090909,26.6981818181818,46.6145454545454,121.666666666667,12.5,NA,30.1141666666667,1019.87272727273
"NSI",-119.4582,33.2398,1989,2,7,48.3309090909091,30.2654545454545,49.7436363636364,115.454545454545,10,NA,30.1254545454545,1020.30909090909
"NSI",-119.4582,33.2398,1989,2,8,48.4127272727273,43.8145454545455,84.6954545454546,99.375,11.8125,NA,30.06375,1018.36363636364
"NSI",-119.4582,33.2398,1989,2,9,56.1690909090909,51.9145454545455,86.9609090909091,200.47619047619,3.95238095238095,NA,30.1704761904762,1021.43636363636
