"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"NTD",-119.12,34.12,1989,1,1,55.8725,36.75875,50.34,53.6842105263158,14.5789473684211,NA,29.9263157894737,1013.40625
"NTD",-119.12,34.12,1989,1,2,57.65,32.4725,38.9220833333333,88.75,9.375,NA,30.01,1016.24782608696
"NTD",-119.12,34.12,1989,1,3,58.4675,33.38,40.69,113.461538461538,8,NA,30.0665384615385,1018.3
"NTD",-119.12,34.12,1989,1,4,57.875,43.625,59.4583333333333,123.2,6.44,NA,29.9884,1015.425
"NTD",-119.12,34.12,1989,1,5,51.0525,45.885,82.75875,91.6666666666667,4.00266666666667,NA,30.1523333333333,1020.99047619048
"NTD",-119.12,34.12,1989,1,6,50.3975,40.04,69.66625,200.740740740741,5.44444444444444,NA,30.1066666666667,1019.65833333333
"NTD",-119.12,34.12,1989,1,7,45.005,31.49,60.2175,133.333333333333,4.51851851851852,NA,30.2292592592593,1023.58333333333
"NTD",-119.12,34.12,1989,1,8,46.4075,33.1175,62.0233333333333,135.416666666667,6.16666666666667,NA,30.3575,1028.01666666667
"NTD",-119.12,34.12,1989,1,9,47.78,35.1275,62.4825,216.666666666667,4.29166666666667,NA,30.37,1028.43333333333
"NTD",-119.12,34.12,1989,1,10,50.615,41.3825,71.5095833333333,172.916666666667,3.91666666666667,NA,30.15875,1021.27083333333
"NTD",-119.12,34.12,1989,1,11,55.7675,35.7425,52.58875,128.333333333333,11.7083333333333,NA,30.1216666666667,1020.02916666667
"NTD",-119.12,34.12,1989,1,12,56.33,17.045,21.3208333333333,50.8333333333333,19.5833333333333,NA,30.35,1027.75
"NTD",-119.12,34.12,1989,1,13,54.05,25.19,34.3441666666667,127.083333333333,5.91666666666667,NA,30.33125,1027.07916666667
"NTD",-119.12,34.12,1989,1,14,46.0775,36.92,70.8491666666667,111.2,2.76,NA,30.2676,1024.93333333333
"NTD",-119.12,34.12,1989,1,15,49.835,34.415,61.1358333333333,176.25,5.91666666666667,NA,30.2791666666667,1025.31666666667
"NTD",-119.12,34.12,1989,1,16,59.66,26.8475,31.5625,107.5,10.8333333333333,NA,30.245,1024.21666666667
"NTD",-119.12,34.12,1989,1,17,63.7325,28.79,30.035,128.333333333333,10.5833333333333,NA,30.1345833333333,1020.44583333333
"NTD",-119.12,34.12,1989,1,18,67.31,30.995,28.3204166666667,98.75,10.625,NA,30.1141666666667,1019.75833333333
"NTD",-119.12,34.12,1989,1,19,69.575,31.775,25.4025,86.25,9.625,NA,30.0504166666667,1017.61666666667
"NTD",-119.12,34.12,1989,1,20,68.69,34.7,30.4366666666667,81.25,8.5,NA,30.03125,1016.99166666667
"NTD",-119.12,34.12,1989,1,21,69.5825,33.2525,27.05375,80.4166666666667,8.79166666666667,NA,29.99375,1015.67916666667
"NTD",-119.12,34.12,1989,1,22,55.13,40.235,58.7870833333333,248.333333333333,3.91666666666667,NA,29.9383333333333,1013.75833333333
"NTD",-119.12,34.12,1989,1,23,53.4525,46.7041666666667,78.03125,199.545454545455,5.03529411764706,NA,29.9211764705882,1013.3
"NTD",-119.12,34.12,1989,1,24,51.9541666666667,46.4716666666667,82.13625,139.090909090909,3.03846153846154,NA,29.9296153846154,1013.66666666667
"NTD",-119.12,34.12,1989,1,25,52.9641666666667,35.6208333333333,59.9033333333333,98.9583333333333,5.16666666666667,NA,29.9941666666667,1015.75217391304
"NTD",-119.12,34.12,1989,1,26,58.2425,21.3275,26.8366666666667,99.5833333333333,10.4583333333333,NA,30.1108333333333,1019.60869565217
"NTD",-119.12,34.12,1989,1,27,51.755,35.8325,56.5275,138.75,4.70833333333333,NA,30.1208333333333,1019.97916666667
"NTD",-119.12,34.12,1989,1,28,49.3475,41.015,73.7958333333333,77.4,3.32,NA,30.164,1021.39166666667
"NTD",-119.12,34.12,1989,1,29,52.9625,39.68,70.0641666666667,140,5.58333333333333,NA,30.10625,1019.5125
"NTD",-119.12,34.12,1989,1,30,60.095,39.9575,52.0129166666667,116.25,5.04166666666667,NA,30.09875,1019.2875
"NTD",-119.12,34.12,1989,1,31,54.44,41.5775,62.4333333333333,216,3.64,NA,30.054,1017.66666666667
"NTD",-119.12,34.12,1989,2,1,51.3725,45.995,82.626875,75.3703703703704,2.77777777777778,NA,30.0059259259259,1015.95
