"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"NUQ",-122.049,37.4059,1989,1,1,43.64375,30.65,61.74875,83.125,0.9375,NA,30.1075,1019.5625
"NUQ",-122.049,37.4059,1989,1,2,44.3225,31.13,60.7883333333333,80.8333333333333,1.5,NA,30.1225,1020.07083333333
"NUQ",-122.049,37.4059,1989,1,3,46.955,35.5925,65.5933333333333,136.25,2.58333333333333,NA,30.1516666666667,1021.05
"NUQ",-122.049,37.4059,1989,1,4,46.565,35.015,64.8783333333333,149.583333333333,2.04166666666667,NA,30.0420833333333,1017.3625
"NUQ",-122.049,37.4059,1989,1,5,50.36,40.04,68.005,179.642857142857,6.39285714285714,NA,30.0564285714286,1017.45
"NUQ",-122.049,37.4059,1989,1,6,44.7125,32.195,61.8995833333333,130.8,3.28,NA,30.2376,1024.09583333333
"NUQ",-122.049,37.4059,1989,1,7,44.8325,35.1725,69.3529166666667,181.153846153846,4.65384615384615,NA,30.2611538461538,1024.91666666667
"NUQ",-122.049,37.4059,1989,1,8,42.1475,31.1225,65.9945833333333,114.642857142857,2.5,NA,30.46,1031.35416666667
"NUQ",-122.049,37.4059,1989,1,9,50.3975,39.7475,67.2716666666667,184,4.32,NA,30.4736,1031.925
"NUQ",-122.049,37.4059,1989,1,10,51.665,42.9425,72.35625,137.037037037037,4.2962962962963,NA,30.3466666666667,1027.55416666667
"NUQ",-122.049,37.4059,1989,1,11,50.3525,31.8725,49.82,289.583333333333,7.5,NA,30.36125,1028.15833333333
"NUQ",-122.049,37.4059,1989,1,12,50.285,25.4675,38.0275,273.75,8.33333333333333,NA,30.46625,1031.75
"NUQ",-122.049,37.4059,1989,1,13,45.8375,28.925,52.9075,96.25,1.58333333333333,NA,30.3658333333333,1028.31666666667
"NUQ",-122.049,37.4059,1989,1,14,46.1375,32.7275,60.3166666666667,107.5,2.125,NA,30.3645833333333,1028.34166666667
"NUQ",-122.049,37.4059,1989,1,15,44.3825,31.88,62.6033333333333,104.583333333333,2.58333333333333,NA,30.4395833333333,1030.86666666667
"NUQ",-122.049,37.4059,1989,1,16,46.73,32.5625,58.8970833333333,185.833333333333,2.79166666666667,NA,30.4195833333333,1030.15416666667
"NUQ",-122.049,37.4059,1989,1,17,47.8775,38.615,70.8875,93.5294117647059,1.61764705882353,NA,30.3441176470588,1027.5625
"NUQ",-122.049,37.4059,1989,1,18,50.87,39.365,65.5725,200.416666666667,2.95833333333333,NA,30.2508333333333,1024.41666666667
