"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"OXR",-119.2072,34.2008,1989,1,1,57.8,32,38.1644444444444,79,15.608,NA,29.96,NA
"OXR",-119.2072,34.2008,1989,1,2,54.0071428571429,32,44.6978571428571,155.333333333333,9.408,NA,30.0413333333333,NA
"OXR",-119.2072,34.2008,1989,1,3,56.9061538461538,32.4569230769231,40.9638461538462,129.285714285714,8.55384615384615,NA,30.0878571428571,NA
"OXR",-119.2072,34.2008,1989,1,4,56.0171428571429,44.9985714285714,67.8814285714286,126.428571428571,7.71428571428571,NA,30.0292857142857,NA
"OXR",-119.2072,34.2008,1989,1,5,51.0157142857143,47.6857142857143,88.5821428571429,90.6666666666667,6.8,NA,30.1666666666667,NA
"OXR",-119.2072,34.2008,1989,1,6,49.316,40.292,73.4564285714286,172.666666666667,8.40266666666667,NA,30.14875,NA
"OXR",-119.2072,34.2008,1989,1,7,46.268,33.284,61.568,162.666666666667,10.3333333333333,NA,30.2453333333333,NA
"OXR",-119.2072,34.2008,1989,1,8,47.2446153846154,34.6584615384615,63.1761538461538,118.666666666667,9.13333333333333,NA,30.3746666666667,NA
"OXR",-119.2072,34.2008,1989,1,9,50.2571428571429,36.6028571428571,60.6928571428571,190.714285714286,8.21428571428571,NA,30.3771428571429,NA
"OXR",-119.2072,34.2008,1989,1,10,52.6342857142857,42.2728571428571,71.1207692307692,145.714285714286,7.07692307692308,NA,30.1546153846154,NA
"OXR",-119.2072,34.2008,1989,1,11,53.672,39.092,61.384,190,9,NA,30.1693333333333,NA
"OXR",-119.2072,34.2008,1989,1,12,54.2042857142857,27.8214285714286,38.8092857142857,133.333333333333,13.2,NA,30.3913333333333,1031.2
"OXR",-119.2072,34.2008,1989,1,13,50.6784615384615,33.8969230769231,53.8138461538461,182.307692307692,7.07692307692308,NA,30.3623076923077,NA
"OXR",-119.2072,34.2008,1989,1,14,47.48,38.624,71.9446666666667,121.333333333333,6.46666666666667,NA,30.294,NA
"OXR",-119.2072,34.2008,1989,1,15,49.484,40.352,71.8933333333333,160,7.625,NA,30.303125,NA
"OXR",-119.2072,34.2008,1989,1,16,55.0815384615385,37.1507692307692,55.8653846153846,177.692307692308,8.76923076923077,NA,30.2746153846154,NA
"OXR",-119.2072,34.2008,1989,1,17,56.852,39.704,56.8726666666667,200.666666666667,7.46666666666667,NA,30.1733333333333,1021.7
"OXR",-119.2072,34.2008,1989,1,18,61.3953846153846,39.8646153846154,49.2969230769231,173.571428571429,10,NA,30.1428571428571,NA
"OXR",-119.2072,34.2008,1989,1,19,67.1523076923077,38.4661538461538,40.2492307692308,100.769230769231,10.9230769230769,NA,30.0746153846154,NA
"OXR",-119.2072,34.2008,1989,1,20,66.452,37.592,36.3513333333333,110.625,7.69,NA,30.05625,NA
"OXR",-119.2072,34.2008,1989,1,21,63.4013333333333,39.128,41.5933333333333,148.125,6.875,NA,30.02125,NA
"OXR",-119.2072,34.2008,1989,1,22,55.2071428571429,46.2714285714286,74.3264285714286,242.777777777778,7.66666666666667,NA,29.9688888888889,NA
"OXR",-119.2072,34.2008,1989,1,23,51.1883333333333,47.5566666666667,87.6941666666667,169.166666666667,7.75333333333333,NA,29.9475,NA
"OXR",-119.2072,34.2008,1989,1,24,51.1985714285714,46.6257142857143,85.1492857142857,128,7.13333333333333,NA,29.956,NA
"OXR",-119.2072,34.2008,1989,1,25,53.5742857142857,41.1928571428571,65.59,134.666666666667,7.4,NA,30.0273333333333,NA
"OXR",-119.2072,34.2008,1989,1,26,56.6471428571429,30.9585714285714,41.2814285714286,170,12.8,NA,30.14,NA
"OXR",-119.2072,34.2008,1989,1,27,53.552,41.384,65.0286666666667,190,8.125,NA,30.169375,NA
"OXR",-119.2072,34.2008,1989,1,28,51.7742857142857,44.7414285714286,77.8507142857143,123.571428571429,5.92857142857143,NA,30.18,NA
"OXR",-119.2072,34.2008,1989,1,29,53.1985714285714,45.5071428571429,77.4164285714286,222.941176470588,9.06352941176471,NA,30.1376470588235,NA
"OXR",-119.2072,34.2008,1989,1,30,63.2,41.864,51.4006666666667,170,13.2666666666667,NA,30.122,NA
"OXR",-119.2072,34.2008,1989,1,31,54.6971428571429,46.3271428571429,73.84,226,6.86933333333333,NA,30.0673333333333,NA
"OXR",-119.2072,34.2008,1989,2,1,48.5777777777778,43.9955555555556,84.9844444444444,51.6666666666667,1.84615384615385,NA,30.0407692307692,NA
"OXR",-119.2072,34.2008,1989,2,2,52.628,44.42,74.2333333333333,238.666666666667,9.4,NA,30.0813333333333,NA
"OXR",-119.2072,34.2008,1989,2,3,49.94,44.132,80.8953333333333,142.222222222222,6.38888888888889,NA,30.185,NA
"OXR",-119.2072,34.2008,1989,2,4,51.95,49.82,92.445,243.125,13.4375,NA,30.055,NA
"OXR",-119.2072,34.2008,1989,2,5,46.124,34.544,65.0273333333333,172.666666666667,12.6,NA,30.054,NA
"OXR",-119.2072,34.2008,1989,2,6,44.2123076923077,18.3338461538462,36.7807692307692,66.9230769230769,17,NA,30.1792307692308,NA
"OXR",-119.2072,34.2008,1989,2,7,45.8085714285714,12.8428571428571,26.1328571428571,48.5714285714286,18.6428571428571,NA,30.2114285714286,NA
"OXR",-119.2072,34.2008,1989,2,8,43.4171428571429,26.9471428571429,59.175,62.1428571428571,20.0714285714286,NA,30.1671428571429,NA
"OXR",-119.2072,34.2008,1989,2,9,46.0914285714286,40.6014285714286,81.1078571428571,57.1428571428571,16.7857142857143,NA,30.2171428571429,NA
"OXR",-119.2072,34.2008,1989,2,10,51.26,43.415,74.7633333333333,136.923076923077,9.76923076923077,NA,30.3269230769231,NA
"OXR",-119.2072,34.2008,1989,2,11,51.608,43.052,73.4546666666667,205.333333333333,7.46666666666667,NA,30.3046666666667,NA
"OXR",-119.2072,34.2008,1989,2,12,53.2142857142857,39.6757142857143,62.1842857142857,182.142857142857,9.64285714285714,NA,30.1564285714286,NA
"OXR",-119.2072,34.2008,1989,2,13,49.832,35.756,59.2993333333333,153.125,8.8125,NA,30.046875,NA
"OXR",-119.2072,34.2008,1989,2,14,48.7657142857143,40.3057142857143,73.6014285714286,134.285714285714,6.64285714285714,NA,30.0814285714286,NA
"OXR",-119.2072,34.2008,1989,2,15,50.5142857142857,41.8614285714286,72.8135714285714,168.666666666667,7.06933333333333,NA,30.26,NA
"OXR",-119.2072,34.2008,1989,2,16,50.252,43.796,78.7513333333333,214.666666666667,9.06666666666667,NA,30.314,NA
