"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"PAO",-122.1151,37.4611,1989,1,1,45.6714285714286,32,61.3171428571429,296.666666666667,7.57333333333333,NA,30.105,NA
"PAO",-122.1151,37.4611,1989,1,2,43.6666666666667,32,64.78,343.571428571429,2.40533333333333,NA,30.132,NA
"PAO",-122.1151,37.4611,1989,1,3,46.3333333333333,32,58.6666666666667,250.714285714286,2.544,NA,30.162,NA
"PAO",-122.1151,37.4611,1989,1,4,45.4785714285714,32,60.7842857142857,345.625,2.51428571428571,NA,30.0561538461538,NA
"PAO",-122.1151,37.4611,1989,1,5,46.1727272727273,32,57.6727272727273,273.5,6.53866666666667,NA,30.07,NA
"PAO",-122.1151,37.4611,1989,1,6,46.94,34.628,62.142,186.25,3.33333333333333,NA,30.2453333333333,NA
"PAO",-122.1151,37.4611,1989,1,7,44.336,35.936,72.5406666666667,236.666666666667,5.8,NA,30.3113333333333,NA
"PAO",-122.1151,37.4611,1989,1,8,41.996,33.572,72.826,45.3333333333333,1.8,NA,30.4686666666667,NA
"PAO",-122.1151,37.4611,1989,1,9,48.368,41.072,76.0186666666667,150,3.0625,NA,30.484375,NA
"PAO",-122.1151,37.4611,1989,1,10,49.448,42.944,78.7786666666667,170.555555555556,6.27777777777778,NA,30.3183333333333,NA
"PAO",-122.1151,37.4611,1989,1,11,49.6142857142857,35.8314285714286,60.09,320.714285714286,8.07142857142857,NA,30.3678571428571,NA
"PAO",-122.1151,37.4611,1989,1,12,49.4857142857143,31.0357142857143,49.5571428571429,167.857142857143,7,NA,30.4764285714286,NA
"PAO",-122.1151,37.4611,1989,1,13,44.78,32.0969230769231,62.6846153846154,89.2307692307692,3.23076923076923,NA,30.3692307692308,NA
"PAO",-122.1151,37.4611,1989,1,14,45.536,35.228,68.3533333333333,239.333333333333,5.53333333333333,NA,30.3833333333333,NA
"PAO",-122.1151,37.4611,1989,1,15,43.892,34.124,69.7833333333333,174,4.2,NA,30.4506666666667,NA
"PAO",-122.1151,37.4611,1989,1,16,45.632,35.084,67.604,136.666666666667,3.26666666666667,NA,30.4266666666667,NA
