"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"RHV",-121.82,37.33,1989,1,1,42.58,34.26,74.5622222222222,53.3333333333333,1.11111111111111,NA,30.1055555555556,NA
"RHV",-121.82,37.33,1989,1,2,45.23,34.7,68.295,143.75,3.3125,NA,30.125625,NA
"RHV",-121.82,37.33,1989,1,3,47.0525,37.62875,71.396875,132.142857142857,2.375,NA,30.15625,NA
"RHV",-121.82,37.33,1989,1,4,49.4615384615385,39.3538461538462,69.8346153846154,171.666666666667,2.76923076923077,NA,30.0492307692308,NA
"RHV",-121.82,37.33,1989,1,5,50.3306666666667,41.672,73.8246666666667,153.235294117647,5.16666666666667,NA,30.0722222222222,NA
"RHV",-121.82,37.33,1989,1,6,44.06,35.672,73.4666666666667,236.764705882353,5.52941176470588,NA,30.2452941176471,NA
"RHV",-121.82,37.33,1989,1,7,44.11875,36.51125,75.7125,279.411764705882,5.94666666666667,NA,30.2916666666667,NA
"RHV",-121.82,37.33,1989,1,8,43.136,33.848,71.5713333333333,110.666666666667,3.375,NA,30.456875,NA
"RHV",-121.82,37.33,1989,1,9,49.94375,42.4175,75.988125,189.411764705882,5.47058823529412,NA,30.4741176470588,NA
"RHV",-121.82,37.33,1989,1,10,50.045,46.92875,89.305,244.583333333333,5.91666666666667,NA,30.3445833333333,NA
"RHV",-121.82,37.33,1989,1,11,49.472,33.524,55.3066666666667,324.666666666667,9.86666666666667,NA,30.3566666666667,NA
"RHV",-121.82,37.33,1989,1,12,49.424,27.584,43.91,210,6.46666666666667,NA,30.4613333333333,NA
"RHV",-121.82,37.33,1989,1,13,45.725,32.945,62.6,71.25,1.5,NA,30.375625,NA
"RHV",-121.82,37.33,1989,1,14,47.3457142857143,32.72,57.7778571428571,292.5,4.80533333333333,NA,30.3713333333333,NA
"RHV",-121.82,37.33,1989,1,15,44.464,33.956,68.056,191.923076923077,3.46933333333333,NA,30.4526666666667,NA
"RHV",-121.82,37.33,1989,1,16,46.3775,36.01625,68.50125,116.875,2.3125,NA,30.429375,NA
"RHV",-121.82,37.33,1989,1,17,48.25125,40.31375,74.85625,172.058823529412,2.89111111111111,NA,30.3466666666667,NA
"RHV",-121.82,37.33,1989,1,18,50.505,39.5275,69.7373333333333,135,1.86666666666667,NA,30.258125,NA
"RHV",-121.82,37.33,1989,1,19,53.92625,40.325,62.375625,38.125,0.6875,NA,30.14625,NA
"RHV",-121.82,37.33,1989,1,20,54.43,41.45,63.934375,40,0.5625,NA,30.10375,NA
"RHV",-121.82,37.33,1989,1,21,53.7375,42.81125,68.41875,141.5625,2.375,NA,30.06125,NA
"RHV",-121.82,37.33,1989,1,22,50.5128571428571,40.6528571428571,70.1292857142857,64,0.785714285714286,NA,29.9771428571429,NA
"RHV",-121.82,37.33,1989,1,23,50.3938461538462,45.9984615384615,85.3392307692308,257.333333333333,5.00705882352941,NA,29.8988235294118,NA
"RHV",-121.82,37.33,1989,1,24,48.2857142857143,40.4342857142857,75.0814285714286,249.285714285714,4.70588235294118,NA,30.0729411764706,NA
"RHV",-121.82,37.33,1989,1,25,50.7328571428571,32.8485714285714,52.7657142857143,207.142857142857,6.57142857142857,NA,30.1392857142857,NA
"RHV",-121.82,37.33,1989,1,26,50.135,34.4525,56.8725,104.375,3,NA,30.179375,NA
"RHV",-121.82,37.33,1989,1,27,50.1825,37.5475,63.958125,123.214285714286,2.07,NA,30.19,NA
"RHV",-121.82,37.33,1989,1,28,50.60125,40.3275,68.270625,265.625,4.80210526315789,NA,30.2326315789474,NA
"RHV",-121.82,37.33,1989,1,29,52.5306666666667,39.128,63.518,188.928571428571,3.06352941176471,NA,30.1823529411765,NA
"RHV",-121.82,37.33,1989,1,30,56.1875,39.87625,57.21375,101.333333333333,1.69,NA,30.168125,NA
"RHV",-121.82,37.33,1989,1,31,55.12625,43.84,67.339375,122.857142857143,2.07,NA,30.054375,NA
"RHV",-121.82,37.33,1989,2,1,49.78,41.74,74.4144444444444,120.909090909091,2.63636363636364,NA,29.9863636363636,NA
"RHV",-121.82,37.33,1989,2,2,45.42125,38.76125,78.100625,175.625,5.8125,NA,30.08375,NA
"RHV",-121.82,37.33,1989,2,3,46.43375,39.5825,77.379375,160,5.75,NA,30.11375,NA
"RHV",-121.82,37.33,1989,2,4,44.29625,37.34375,77.470625,182.352941176471,5.23529411764706,NA,30.07,NA
"RHV",-121.82,37.33,1989,2,5,38.57,23.05625,55.43125,238.75,7.5,NA,30.17375,NA
"RHV",-121.82,37.33,1989,2,6,38.6957142857143,21.6371428571429,53.6014285714286,277.083333333333,5.06933333333333,NA,30.270625,NA
"RHV",-121.82,37.33,1989,2,7,40.1714285714286,29.0557142857143,67.5335714285714,234.5,2.88,NA,30.258125,NA
"RHV",-121.82,37.33,1989,2,8,39.88,32,74.7266666666667,177.5,3.008,NA,30.156,NA
"RHV",-121.82,37.33,1989,2,9,44.2066666666667,32,63.762,194.545454545455,2.10947368421053,NA,30.1505263157895,NA
