"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"SBA",-119.8436,34.4261,1989,1,1,50.225,40.49,73.5566666666667,164.166666666667,4.58333333333333,NA,29.955,1014.4
"SBA",-119.8436,34.4261,1989,1,2,48.7873684210526,35.6663157894737,66.1963157894737,111.5,2.9,NA,30.0315,1016.99
"SBA",-119.8436,34.4261,1989,1,3,52.691,36.86,57.16,161.428571428571,4.28571428571429,NA,30.0819047619048,1018.68095238095
"SBA",-119.8436,34.4261,1989,1,4,55.9021052631579,43.1978947368421,65.3084210526316,115.5,4.8,NA,30.0055,1016.11
"SBA",-119.8436,34.4261,1989,1,5,50.812380952381,48.0571428571429,90.4847619047619,97.7586206896552,7.65793103448276,NA,30.1524137931034,1020.69444444444
"SBA",-119.8436,34.4261,1989,1,6,50.198,32.063,53.101,279.545454545455,9.09090909090909,NA,30.1513636363636,1021.185
"SBA",-119.8436,34.4261,1989,1,7,46.2673684210526,32.6821052631579,61.9794736842105,223.809523809524,7.61904761904762,NA,30.24,1024.145
"SBA",-119.8436,34.4261,1989,1,8,45.9452631578947,29.2810526315789,54.0478947368421,163,5.35,NA,30.3745,1028.63
"SBA",-119.8436,34.4261,1989,1,9,45.8978947368421,34.8989473684211,67.8457894736842,65.5,2.65,NA,30.3815,1028.84
"SBA",-119.8436,34.4261,1989,1,10,52.304,38.831,64.272,214.5,5.6,NA,30.168,1021.6
"SBA",-119.8436,34.4261,1989,1,11,55.1726315789474,35.0694736842105,48.6326315789474,226.5,8.95,NA,30.163,1021.445
"SBA",-119.8436,34.4261,1989,1,12,46.6652631578947,32.3221052631579,59.5231578947368,112,3.25,NA,30.3735,1028.575
"SBA",-119.8436,34.4261,1989,1,13,45.4715789473684,31.6778947368421,64.2294736842105,81.5,2.4,NA,30.3525,1027.835
"SBA",-119.8436,34.4261,1989,1,14,45.0452631578947,38.0726315789474,78.2452631578947,163,3.6,NA,30.267,1025.125
