"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"SMX",-120.45,34.9,1989,1,1,47.7575,33.45125,47.53,215,11.8571428571429,NA,29.9914285714286,1015.6
"SMX",-120.45,34.9,1989,1,2,44.9018181818182,32.0490909090909,59.66125,206.481481481481,4.94736842105263,NA,30.06125,1018.24
"SMX",-120.45,34.9,1989,1,3,46.1383333333333,34.61,62.82,222,4.52631578947368,NA,30.1005263157895,1019.35263157895
"SMX",-120.45,34.9,1989,1,4,49.4441666666667,38.21,66.6541176470588,207.6,4.38888888888889,NA,30.0311111111111,1016.98333333333
"SMX",-120.45,34.9,1989,1,5,46.975,42.1025,89.2411111111111,218.103448275862,8.26260869565217,NA,30.1339130434783,1020.41111111111
"SMX",-120.45,34.9,1989,1,6,42.1036363636364,35.0845454545455,76.0961111111111,274.230769230769,6.65,NA,30.223,1023.51
"SMX",-120.45,34.9,1989,1,7,40.3147826086957,35.7408695652174,82.0216666666667,250.833333333333,6.11111111111111,NA,30.2811111111111,1025.5
"SMX",-120.45,34.9,1989,1,8,42.004,32.63,67.1726666666667,311.666666666667,7.46666666666667,NA,30.4153333333333,1030.17333333333
"SMX",-120.45,34.9,1989,1,9,44.6383333333333,34.07,62.5541176470588,288.4,7.72222222222222,NA,30.4294444444444,1030.53333333333
"SMX",-120.45,34.9,1989,1,10,50.2658333333333,40.2275,72.5305555555556,315,9.3,NA,30.2685,1025.14736842105
"SMX",-120.45,34.9,1989,1,11,47.1141666666667,32.99,60.0970588235294,269.166666666667,9.94117647058824,NA,30.2558823529412,1024.51764705882
"SMX",-120.45,34.9,1989,1,12,47.147,28.76,49.445,170.4,8.10526315789474,NA,30.3921052631579,1029.2
"SMX",-120.45,34.9,1989,1,13,42.5590909090909,35.0354545454545,74.44,186,4.42105263157895,NA,30.3636842105263,1028.21052631579
"SMX",-120.45,34.9,1989,1,14,42.9441666666667,36.32,77.2516666666667,244.583333333333,6.44444444444444,NA,30.3127777777778,1026.53888888889
"SMX",-120.45,34.9,1989,1,15,48.5833333333333,31.4075,48.333125,252.916666666667,8.875,NA,30.335625,1027.35
"SMX",-120.45,34.9,1989,1,16,51.7808333333333,29.6375,36.864375,172.8,10,NA,30.2935294117647,1025.85294117647
"SMX",-120.45,34.9,1989,1,17,52.0441666666667,29.39,37.139375,259.583333333333,8.3125,NA,30.19375,1022.5
"SMX",-120.45,34.9,1989,1,18,51.2475,34.865,51.7633333333333,230,5.52631578947368,NA,30.1578947368421,1021.29473684211
"SMX",-120.45,34.9,1989,1,19,52.8708333333333,35.3675,52.3657894736842,206,4.3,NA,30.0955,1019.15
"SMX",-120.45,34.9,1989,1,20,52.7333333333333,35.72,50.5666666666667,195.6,3.73684210526316,NA,30.0705263157895,1018.31052631579
"SMX",-120.45,34.9,1989,1,21,55.1708333333333,36.665,51.2544444444444,222.5,4.88888888888889,NA,30.0411111111111,1017.36111111111
"SMX",-120.45,34.9,1989,1,22,44.4266666666667,37.8275,79.4386666666667,281.346153846154,5.88470588235294,NA,29.9864705882353,1015.60625
"SMX",-120.45,34.9,1989,1,23,49.4841666666667,41.72,81.71,202.333333333333,6,NA,29.91125,1013.04736842105
"SMX",-120.45,34.9,1989,1,24,50.3716666666667,42.8825,86.7994117647059,305.862068965517,8.09090909090909,NA,30.0036363636364,1016.185
