"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"SNS",-121.6093,36.6635,1989,1,1,42.0107692307692,34.7276923076923,77.1138461538462,139.230769230769,3.76923076923077,NA,30.0946153846154,1019.29230769231
"SNS",-121.6093,36.6635,1989,1,2,42.7314285714286,35.0171428571429,75.3561904761905,115.714285714286,7.85714285714286,NA,30.1142857142857,1019.9619047619
"SNS",-121.6093,36.6635,1989,1,3,48.02,37.1808695652174,68.4360869565217,113.75,11.3333333333333,NA,30.12625,1020.48181818182
"SNS",-121.6093,36.6635,1989,1,4,50.3428571428571,38.1628571428571,64.352380952381,132.380952380952,6.76190476190476,NA,30.0280952380952,1017.02857142857
"SNS",-121.6093,36.6635,1989,1,5,49.7078260869565,43.695652173913,80.8782608695652,216.153846153846,9.42307692307692,NA,30.0842307692308,1018.945
"SNS",-121.6093,36.6635,1989,1,6,42.1269565217391,34.2852173913044,75.3504347826087,118.260869565217,3.78260869565217,NA,30.2526086956522,1024.66086956522
"SNS",-121.6093,36.6635,1989,1,7,44.2475,37.28,77.4391666666667,195.416666666667,7.58333333333333,NA,30.2808333333333,1025.575
"SNS",-121.6093,36.6635,1989,1,8,40.04,32.45,75.9520833333333,154.583333333333,6,NA,30.47,1032.0125
"SNS",-121.6093,36.6635,1989,1,9,47.2175,38.2625,71.4704166666667,134.4,6.56,NA,30.4928,1032.69565217391
"SNS",-121.6093,36.6635,1989,1,10,50.2339130434783,40.3504347826087,71.374347826087,212.5,6.03846153846154,NA,30.3511538461538,1027.89090909091
"SNS",-121.6093,36.6635,1989,1,11,47.0104347826087,32.555652173913,58.7478260869565,233.04347826087,6.39130434782609,NA,30.34,1027.60434782609
"SNS",-121.6093,36.6635,1989,1,12,43.9454545454545,29.7090909090909,59.9495454545455,122.272727272727,6.63636363636364,NA,30.4522727272727,1031.41818181818
"SNS",-121.6093,36.6635,1989,1,13,42.68,33.9725,72.9120833333333,135.416666666667,5.54166666666667,NA,30.3779166666667,1028.88333333333
"SNS",-121.6093,36.6635,1989,1,14,45.515652173913,38.4721739130435,78.1060869565217,275.2,5.2,NA,30.3644,1028.45
"SNS",-121.6093,36.6635,1989,1,15,41.795,32.195,71.94,152.916666666667,4.54166666666667,NA,30.4466666666667,1031.26956521739
"SNS",-121.6093,36.6635,1989,1,16,42.7925,34.4075,74.99125,132.083333333333,4.75,NA,30.4158333333333,1030.1875
"SNS",-121.6093,36.6635,1989,1,17,44.5909090909091,39.28,83.7863636363636,161.458333333333,4.085,NA,30.3175,1026.77619047619
"SNS",-121.6093,36.6635,1989,1,18,47.5325,38.9075,74.8679166666667,128.333333333333,6.29166666666667,NA,30.2391666666667,1024.19166666667
"SNS",-121.6093,36.6635,1989,1,19,53.675,38.075,58.2520833333333,84.5833333333333,8,NA,30.1208333333333,1020.18333333333
"SNS",-121.6093,36.6635,1989,1,20,55.1965217391304,38.7930434782609,55.4469565217391,93.4782608695652,9.04347826086956,NA,30.0678260869565,1018.38260869565
"SNS",-121.6093,36.6635,1989,1,21,53.57,37.5425,57.57625,172.083333333333,8.5,NA,30.0466666666667,1017.65833333333
