"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"VBG",-120.5768,34.7297,1989,1,3,58.5275,39.9875,51.06375,175.555555555556,4.77777777777778,NA,30.0644444444444,1017.8375
"VBG",-120.5768,34.7297,1989,1,4,57.416,43.592,60.733,239.090909090909,5.27272727272727,NA,29.9981818181818,1015.8
"VBG",-120.5768,34.7297,1989,1,5,52.502,46.364,79.631,226,9,NA,30.1005,1019.09
"VBG",-120.5768,34.7297,1989,1,6,49.316,39.02,68.154,246.363636363636,10.1818181818182,NA,30.2081818181818,1022.85
"VBG",-120.5768,34.7297,1989,1,7,50,35.06,56.35,325,13,NA,30.235,1023.6
"VBG",-120.5768,34.7297,1989,1,9,55.3775,41.2475,59.23125,295.555555555556,9.33333333333333,NA,30.35,1027.75
"VBG",-120.5768,34.7297,1989,1,10,55.004,42.512,62.898,309.230769230769,11.1538461538462,NA,30.1892307692308,1022.62
"VBG",-120.5768,34.7297,1989,1,11,51.845,32.255,48.0408333333333,215.625,11.875,NA,30.23,1024.56666666667
"VBG",-120.5768,34.7297,1989,1,12,53.618,31.28,43.137,147.272727272727,8,NA,30.3681818181818,1028.21
"VBG",-120.5768,34.7297,1989,1,13,49.4,34.91,57.5358333333333,190.769230769231,4.61538461538461,NA,30.3292307692308,1026.9
"VBG",-120.5768,34.7297,1989,1,14,50.99,38.48,62.115,330,9,NA,30.29,1025.5
"VBG",-120.5768,34.7297,1989,1,17,59.8775,31.1,34.035,98.8888888888889,6.11111111111111,NA,30.1544444444444,1020.875
"VBG",-120.5768,34.7297,1989,1,18,57.4957142857143,34.4171428571429,43.1742857142857,184,6,NA,30.1233333333333,1020
"VBG",-120.5768,34.7297,1989,1,19,64.445,32.705,30.9683333333333,218.461538461538,4.07692307692308,NA,30.0530769230769,1017.525
"VBG",-120.5768,34.7297,1989,1,20,64.6945454545454,31.9672727272727,29.5745454545455,126.666666666667,4,NA,30.0358333333333,1016.74545454545
"VBG",-120.5768,34.7297,1989,1,21,64.535,35.06,33.9725,202,4.4,NA,30.018,1016.075
"VBG",-120.5768,34.7297,1989,1,23,52.3625,43.385,71.61625,115.555555555556,11.2222222222222,NA,29.8455555555556,1010.6375
"VBG",-120.5768,34.7297,1989,1,24,52.88,43.412,70.186,302.5,10.75,NA,29.9608333333333,1014.89
"VBG",-120.5768,34.7297,1989,1,25,51.6061538461538,35.6,55.2169230769231,160,5.84615384615385,NA,30.0307692307692,1016.82307692308
"VBG",-120.5768,34.7297,1989,1,26,55.274,38.912,54.384,212.727272727273,7.09090909090909,NA,30.1081818181818,1019.33
"VBG",-120.5768,34.7297,1989,1,27,52.808,39.614,60.924,256.666666666667,7.25,NA,30.1358333333333,1020.3
"VBG",-120.5768,34.7297,1989,1,28,51.188,41.792,70.178,268.333333333333,5.16666666666667,NA,30.1433333333333,1020.82
"VBG",-120.5768,34.7297,1989,1,30,60.125,42.3725,52.31625,196.666666666667,4.77777777777778,NA,30.0966666666667,1018.775
"VBG",-120.5768,34.7297,1989,1,31,53.816,42.512,65.593,270.909090909091,5.63636363636364,NA,30.0209090909091,1016.46
"VBG",-120.5768,34.7297,1989,2,1,50.9225,40.73,68.01125,214,4,NA,29.986,1015.8375
"VBG",-120.5768,34.7297,1989,2,2,51.944,38.876,61.244,265,5.08333333333333,NA,30.0683333333333,1018.76
"VBG",-120.5768,34.7297,1989,2,3,50.306,41.306,71.534,168.4,6.88,NA,30.1224,1019.59
"VBG",-120.5768,34.7297,1989,2,4,51.98,44.96,76.88,225,2.5,NA,30.09,1018.65
"VBG",-120.5768,34.7297,1989,2,5,46.04,32,NA,320,15.5,NA,30.0166666666667,1016.4
"VBG",-120.5768,34.7297,1989,2,6,47.36,22.72,38.4688888888889,164,6.7,NA,30.161,1021.4
"VBG",-120.5768,34.7297,1989,2,7,49.82,20.156,31.123,125.454545454545,5.81818181818182,NA,30.1581818181818,1021.36
"VBG",-120.5768,34.7297,1989,2,8,51.3581818181818,35.7636363636364,56.5090909090909,119.333333333333,15.2666666666667,NA,30.0066666666667,1016.65454545455
"VBG",-120.5768,34.7297,1989,2,9,54.59,43.304,65.664,155,10.1666666666667,NA,30.15,1020.74
"VBG",-120.5768,34.7297,1989,2,10,52.52,42.335,68.4516666666667,190.714285714286,4.78571428571429,NA,30.3128571428571,1026.25833333333
"VBG",-120.5768,34.7297,1989,2,11,54.05,41.54,62.515,305,10,NA,30.315,1026.45
"VBG",-120.5768,34.7297,1989,2,13,52.25,38.21,58.9025,166.666666666667,8.88888888888889,NA,30.01,1016.075
"VBG",-120.5768,34.7297,1989,2,14,50.9969230769231,37.8153846153846,60.5930769230769,257.857142857143,8.28571428571429,NA,30.0564285714286,1017.66153846154
"VBG",-120.5768,34.7297,1989,2,15,51.908,40.01,64.064,213.636363636364,6.09090909090909,NA,30.2581818181818,1024.48
"VBG",-120.5768,34.7297,1989,2,16,51.62,40.91,66.973,190.666666666667,5.4,NA,30.284,1025.22
"VBG",-120.5768,34.7297,1989,2,17,52.5615384615385,42.62,68.93,278.888888888889,5.05555555555556,NA,30.2344444444444,1023.77692307692
"VBG",-120.5768,34.7297,1989,2,18,52.97,43.97,71.385,320,8,NA,30.15,1020.65
"VBG",-120.5768,34.7297,1989,2,21,65.885,44.6675,47.2275,173.333333333333,4.33333333333333,NA,30.2144444444444,1022.9
"VBG",-120.5768,34.7297,1989,2,22,65.3,44.996,48.222,246.363636363636,5.72727272727273,NA,30.1945454545455,1022.14
"VBG",-120.5768,34.7297,1989,2,23,56.354,46.094,68.832,232.727272727273,4.90909090909091,NA,30.11,1019.41
"VBG",-120.5768,34.7297,1989,2,24,53.978,50.108,87.2,98.8235294117647,2.41176470588235,NA,30.0752941176471,1018
"VBG",-120.5768,34.7297,1989,2,25,53.51,50.54,89.63,0,0,NA,30.055,1017.55
"VBG",-120.5768,34.7297,1989,2,27,59.9,53.015,78.39375,323.333333333333,10.8888888888889,NA,29.9333333333333,1013.35
"VBG",-120.5768,34.7297,1989,2,28,53.69,46.724,77.3,326.666666666667,13.0833333333333,NA,29.9333333333333,1013.31
"VBG",-120.5768,34.7297,1989,3,1,53.15,47.0075,79.66125,180,3.77777777777778,NA,29.99,1015.525
"VBG",-120.5768,34.7297,1989,3,2,53.816,50.216,87.634,183.333333333333,9.88888888888889,NA,29.7783333333333,1008.97
"VBG",-120.5768,34.7297,1989,3,3,50.99,42.206,72.177,324.615384615385,13.0769230769231,NA,29.8538461538462,1011.47
"VBG",-120.5768,34.7297,1989,3,4,49.505,38.75,66.4225,215,11,NA,30.0183333333333,1015.125
"VBG",-120.5768,34.7297,1989,3,5,55.04,42.98,63.72,260,5,NA,30.14,1020.4
"VBG",-120.5768,34.7297,1989,3,6,55.292,50.99,85.81,261.764705882353,5.29411764705882,NA,30.0576470588235,1017.31
"VBG",-120.5768,34.7297,1989,3,7,61.1763636363636,56.0054545454545,83.3818181818182,235.294117647059,4.76470588235294,NA,29.9211764705882,1012.98181818182
"VBG",-120.5768,34.7297,1989,3,8,62.384,56.786,82.022,200,4.09090909090909,NA,29.8972727272727,1012.28
"VBG",-120.5768,34.7297,1989,3,9,62.78,54.986,75.876,190.714285714286,10.8571428571429,NA,30.0228571428571,1016.08
"VBG",-120.5768,34.7297,1989,3,10,62.186,54.878,77.068,201.818181818182,7,NA,30.1036363636364,1019.05
"VBG",-120.5768,34.7297,1989,3,11,59.99,55.04,83.755,255,7.5,NA,30.07,1018.2
"VBG",-120.5768,34.7297,1989,3,12,60.08,53.06,77.59,320,11,NA,30.16,1021
"VBG",-120.5768,34.7297,1989,3,13,56.3675,50.855,82.18875,342.222222222222,17.2222222222222,NA,30.1766666666667,1021.8125
"VBG",-120.5768,34.7297,1989,3,14,55.4830769230769,46.5661538461538,72.2523076923077,345,17.1428571428571,NA,30.0764285714286,1018.31538461538
"VBG",-120.5768,34.7297,1989,3,15,55.94,49.025,77.7675,269.230769230769,8.53846153846154,NA,29.9723076923077,1014.9
"VBG",-120.5768,34.7297,1989,3,16,56.12,49.982,79.902,187.647058823529,7,NA,30.0041176470588,1015.75
"VBG",-120.5768,34.7297,1989,3,17,56.624,48.074,73.413,244.166666666667,8.33333333333333,NA,30.0766666666667,1018.59
"VBG",-120.5768,34.7297,1989,3,18,55.49,46.04,70.565,335,14.5,NA,30.085,1018.5
"VBG",-120.5768,34.7297,1989,3,19,55.04,53.06,93.02,348.333333333333,13,NA,30.17,1021.5
"VBG",-120.5768,34.7297,1989,3,20,66.0457142857143,54.86,67.5742857142857,180,14.375,NA,30.08125,1018.18571428571
"VBG",-120.5768,34.7297,1989,3,21,63.428,52.7,68.425,280,6.27272727272727,NA,30.12,1019.58
"VBG",-120.5768,34.7297,1989,3,22,57.218,53.402,87.727,339.375,7.9375,NA,30.003125,1015.78
"VBG",-120.5768,34.7297,1989,3,23,52.8472727272727,48.8054545454545,86.5590909090909,197.368421052632,3.15789473684211,NA,29.9778947368421,1014.69090909091
"VBG",-120.5768,34.7297,1989,3,24,56.408,54.68,94.069,107.826086956522,10.3913043478261,NA,30.02,1016.08
"VBG",-120.5768,34.7297,1989,3,25,60.08,58.46,94.39,120,8.5,NA,29.97,1014.75
"VBG",-120.5768,34.7297,1989,3,27,57.605,47.3675,68.76125,297.777777777778,10.5555555555556,NA,30.08,1018.5125
"VBG",-120.5768,34.7297,1989,3,28,59.315,49.82,71.0475,342.352941176471,9.76470588235294,NA,30.1776470588235,1021.7
"VBG",-120.5768,34.7297,1989,3,29,57.2,48.7727272727273,73.7581818181818,341.176470588235,8.58823529411765,NA,30.1847058823529,1021.91818181818
"VBG",-120.5768,34.7297,1989,3,30,60.98,49.586,66.643,346.363636363636,9.81818181818182,NA,30.1527272727273,1020.77
"VBG",-120.5768,34.7297,1989,3,31,61.988,49.28,63.329,344.545454545455,11.0909090909091,NA,30.0936363636364,1018.78
"VBG",-120.5768,34.7297,1989,4,2,62.96,51.08,65.14,340,14.5,NA,30.12,1014.6
"VBG",-120.5768,34.7297,1989,4,3,59.04,49.12,70.1766666666667,344.615384615385,10.6153846153846,NA,30.1515384615385,1020.8
"VBG",-120.5768,34.7297,1989,4,4,72.5553846153846,46.4692307692308,42.5323076923077,154,13.3333333333333,NA,30.0853333333333,1018.33846153846
"VBG",-120.5768,34.7297,1989,4,5,81.9984615384615,47.7707692307692,31.3284615384615,186,7.13333333333333,NA,30.0493333333333,1017.10769230769
"VBG",-120.5768,34.7297,1989,4,6,83.4523076923077,49.0030769230769,31.48,227.142857142857,5.21428571428571,NA,30.0271428571429,1016.27692307692
"VBG",-120.5768,34.7297,1989,4,7,82.3169230769231,48.3661538461538,31.7123076923077,254.666666666667,5.53333333333333,NA,29.9766666666667,1014.55384615385
"VBG",-120.5768,34.7297,1989,4,8,84.02,48.92,29.58,330,7,NA,29.91,1012.5
"VBG",-120.5768,34.7297,1989,4,10,58.9,56.66,92.4522222222222,275.294117647059,4.05882352941176,NA,29.9770588235294,1014.72222222222
"VBG",-120.5768,34.7297,1989,4,11,56.21,49.28,78.927,286.923076923077,4.92307692307692,NA,29.8861538461538,1011.83
"VBG",-120.5768,34.7297,1989,4,12,60.494,50.216,69.342,266.923076923077,4.76923076923077,NA,29.8707692307692,1011.27
"VBG",-120.5768,34.7297,1989,4,13,64.904,53.024,65.771,167.5,4.75,NA,29.9608333333333,1014.42
"VBG",-120.5768,34.7297,1989,4,14,65.93,52.898,63.006,210.714285714286,3.57142857142857,NA,30.0371428571429,1016.85
"VBG",-120.5768,34.7297,1989,4,15,68,53.06,58.8,270,7,NA,30.01,1016
"VBG",-120.5768,34.7297,1989,4,17,61.88,51.78,69.6677777777778,251.666666666667,4.33333333333333,NA,30.0491666666667,1017.35555555556
"VBG",-120.5768,34.7297,1989,4,18,59.108,52.718,79.575,188.571428571429,4,NA,30.0078571428571,1015.72
"VBG",-120.5768,34.7297,1989,4,19,57.506,53.492,87.001,246.071428571429,5.03571428571429,NA,29.9678571428571,1014.58
"VBG",-120.5768,34.7297,1989,4,20,58.334,54.788,88.182,333.333333333333,5.4,NA,29.9573333333333,1014.23
"VBG",-120.5768,34.7297,1989,4,21,63.302,55.616,76.386,264,5.06666666666667,NA,29.9873333333333,1015.16
"VBG",-120.5768,34.7297,1989,4,22,64.04,55.94,74.94,340,10,NA,29.98,1014.8
"VBG",-120.5768,34.7297,1989,4,24,65.98,46.44,49.8722222222222,176.363636363636,4.81818181818182,NA,29.9454545454545,1014.02222222222
"VBG",-120.5768,34.7297,1989,4,25,52.3785714285714,47.1971428571429,82.7457142857143,187.826086956522,6.1304347826087,NA,29.9895652173913,1015.3
"VBG",-120.5768,34.7297,1989,4,26,57.038,48.182,73.147,203.636363636364,5,NA,30.0990909090909,1019.14
"VBG",-120.5768,34.7297,1989,4,27,53.19,47,80.6383333333333,175,6.38888888888889,NA,30.0966666666667,1019.07222222222
"VBG",-120.5768,34.7297,1989,4,28,62.816,48.794,60.897,255.454545454545,7.90909090909091,NA,29.9890909090909,1015.3
"VBG",-120.5768,34.7297,1989,4,29,51.485,46.76,84.44,139.090909090909,3.90909090909091,NA,29.9627272727273,1014.375
"VBG",-120.5768,34.7297,1989,4,30,64.94,52.07,63.07,290,10,NA,30.06,1017.55
"VBG",-120.5768,34.7297,1989,5,1,57.0941176470588,50.1164705882353,78.4994117647059,175.416666666667,4.04166666666667,NA,30.0704166666667,1017.62352941176
"VBG",-120.5768,34.7297,1989,5,2,61.628,52.916,73.283,338,10.8666666666667,NA,30.044,1016.97
"VBG",-120.5768,34.7297,1989,5,3,64.73,50.705,60.83,292.307692307692,11.8461538461538,NA,30.0030769230769,1015.75
"VBG",-120.5768,34.7297,1989,5,4,62.1745454545455,52.6509090909091,71.2918181818182,261.538461538462,9.07692307692308,NA,29.92,1013.03636363636
"VBG",-120.5768,34.7297,1989,5,5,57.5436363636364,52.0454545454545,82.2872727272727,204.285714285714,4.71428571428571,NA,29.9119047619048,1012.53636363636
"VBG",-120.5768,34.7297,1989,5,6,61.0781818181818,55.1054545454545,81.0963636363636,244,3.9,NA,29.968,1014.4
"VBG",-120.5768,34.7297,1989,5,7,58.4825,53.51,83.70875,245,4.90909090909091,NA,30.0522727272727,1017.1375
"VBG",-120.5768,34.7297,1989,5,8,58.02,53.24,84.2655555555556,232.058823529412,8.20588235294118,NA,29.9652941176471,1014.6
"VBG",-120.5768,34.7297,1989,5,9,55.112,51.71,88.31,266.551724137931,6.10344827586207,NA,29.9255172413793,1013.36
"VBG",-120.5768,34.7297,1989,5,10,57.704,47.696,69.651,340.769230769231,11.3076923076923,NA,30.0153846153846,1016.44
"VBG",-120.5768,34.7297,1989,5,11,54.9846153846154,46.9815384615385,74.7253846153846,328.888888888889,10.8888888888889,NA,30.005,1016.13076923077
"VBG",-120.5768,34.7297,1989,5,12,56.57,45.698,66.984,326.666666666667,10.0833333333333,NA,30.0275,1016.49
"VBG",-120.5768,34.7297,1989,5,13,54.725,45.995,72.3425,335.714285714286,8,NA,29.9471428571429,1014.2
"VBG",-120.5768,34.7297,1989,5,15,58.12,46.1,64.6288888888889,237.272727272727,5.36363636363636,NA,29.8654545454545,1011.25555555556
