"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"XVW",-120.5783,34.7275,1995,6,1,53.627,52.88,97.444,159.272727272727,4.96363636363636,NA,29.9225454545455,1013.14181818182
"XVW",-120.5783,34.7275,1995,6,2,54.6938461538462,51.4538461538462,89.1188461538461,305.111111111111,9.86666666666667,NA,29.9884444444444,1015.38666666667
"XVW",-120.5783,34.7275,1995,6,3,54.4446153846154,50.8169230769231,87.7292307692308,311.162790697674,10.8837209302326,NA,29.9874418604651,1015.33255813953
"XVW",-120.5783,34.7275,1995,6,4,54.695,50.6075,86.6429166666667,286.923076923077,12.3461538461538,NA,29.9969230769231,1015.68461538462
"XVW",-120.5783,34.7275,1995,6,5,55.0625,49.415,82.52875,327.391304347826,16.804347826087,NA,30.0023913043478,1015.87826086957
"XVW",-120.5783,34.7275,1995,6,6,52.97,45.1175,76.4608333333333,327.083333333333,18.4583333333333,NA,29.9658333333333,1014.69166666667
"XVW",-120.5783,34.7275,1995,6,7,50.9075,46.4,85.0541666666667,316.875,12.4375,NA,29.854375,1010.90625
"XVW",-120.5783,34.7275,1995,6,8,52.2533333333333,48.08,85.8844444444444,238.333333333333,6.94444444444444,NA,29.9383333333333,1013.74166666667
"XVW",-120.5783,34.7275,1995,6,9,52.865,48.275,84.9604166666667,311.785714285714,9.25,NA,30.0625,1017.98928571429
"XVW",-120.5783,34.7275,1995,6,10,52.0333333333333,47.74,86.5081481481482,182.631578947368,4.40350877192982,NA,30.0722807017544,1018.30175438596
"XVW",-120.5783,34.7275,1995,6,11,54.3776,49.8632,85.9544,211.6,6.94,NA,30.0224,1016.516
"XVW",-120.5783,34.7275,1995,6,12,53.3339130434783,47.0339130434783,80.3452173913043,250,8.43478260869565,NA,29.9782608695652,1015.05217391304
"XVW",-120.5783,34.7275,1995,6,13,53.8353846153846,49.1415384615385,85.2373076923077,180.27027027027,5.67567567567568,NA,29.9572972972973,1014.36216216216
"XVW",-120.5783,34.7275,1995,6,14,53.3507692307692,49.9653846153846,88.8776923076923,284.807692307692,7.92307692307692,NA,29.9709615384615,1014.82307692308
"XVW",-120.5783,34.7275,1995,6,15,54.5276923076923,52.7553846153846,93.8796153846154,206.55737704918,8.14754098360656,NA,29.8639344262295,1011.15245901639
"XVW",-120.5783,34.7275,1995,6,16,53.495,51.6575,93.7704166666667,252.033898305085,8.54237288135593,NA,29.8269491525424,1009.92881355932
"XVW",-120.5783,34.7275,1995,6,17,53.6288,50.0648,88.3088,272.162162162162,7.05405405405405,NA,30.0316216216216,1016.88648648649
"XVW",-120.5783,34.7275,1995,6,18,54.8461538461538,51.3638461538462,88.6538461538462,289.777777777778,10.0444444444444,NA,30.0682222222222,1018.08888888889
"XVW",-120.5783,34.7275,1995,6,19,54.3575,48.455,81.535,302.916666666667,12.4583333333333,NA,30.0054166666667,1015.95416666667
"XVW",-120.5783,34.7275,1995,6,20,55.391,49.586,82.379,332.083333333333,14.2916666666667,NA,29.9233333333333,1013.15833333333
"XVW",-120.5783,34.7275,1995,6,21,54.3982608695652,49.1547826086956,83.6295652173913,233.571428571429,7.42857142857143,NA,29.9064285714286,1012.58571428571
"XVW",-120.5783,34.7275,1995,6,22,53.3192,35.1104,52.3884,146.698113207547,3.47245283018868,NA,29.9362264150943,1013.64807692308
"XVW",-120.5783,34.7275,1995,6,23,55.24,36.4,52.3614814814815,216.060606060606,5.96969696969697,NA,29.9633333333333,1014.40892857143
"XVW",-120.5783,34.7275,1995,6,24,56.3072,52.9736,89.6596,188.541666666667,3.54166666666667,NA,29.904375,1012.50697674419
"XVW",-120.5783,34.7275,1995,6,25,59.7875,55.7975,87.3075,159,4.15,NA,29.807,1009.1825
"XVW",-120.5783,34.7275,1995,6,26,59.5746153846154,57.74,93.9634615384615,216.382978723404,5.23404255319149,NA,29.8142553191489,1009.41276595745
"XVW",-120.5783,34.7275,1995,6,27,59.5256,57.4088,93.018,193.191489361702,3.36170212765957,NA,29.9146808510638,1012.82553191489
"XVW",-120.5783,34.7275,1995,6,28,56.3675,54.815,94.9108333333333,272.641509433962,5.11320754716981,NA,29.9496226415094,1014.03396226415
"XVW",-120.5783,34.7275,1995,6,29,57.9848,53.7368,86.3644,258.709677419355,5.2258064516129,NA,29.9458064516129,1013.9
"XVW",-120.5783,34.7275,1995,6,30,56.9685714285714,52.8285714285714,86.1228571428571,248.333333333333,6,NA,29.9505555555556,1014.09444444444
"XVW",-120.5783,34.7275,1995,7,8,61.43,59,91.73,271.666666666667,5.83333333333333,NA,30.0133333333333,1016.15
"XVW",-120.5783,34.7275,1995,7,10,54.86,53.96,96.77,80,1.66666666666667,NA,29.9966666666667,1015.63333333333
"XVW",-120.5783,34.7275,1995,7,13,64.58,51.26,65.16,123.333333333333,12.6666666666667,NA,29.9166666666667,1012.86666666667
"XVW",-120.5783,34.7275,1995,7,15,55.28,54.92,98.7166666666667,157.5,1.5,NA,29.8975,1012.25
"XVW",-120.5783,34.7275,1995,7,27,58.82,55.208,88.9386666666667,217.333333333333,4.26666666666667,NA,29.9143333333333,1012.83666666667
"XVW",-120.5783,34.7275,1995,7,28,56.2175,54.1625,93.395,271.451612903226,5.5,NA,29.9182258064516,1012.9564516129
"XVW",-120.5783,34.7275,1995,7,29,58.1864,54.9032,90.1136,265,8.67307692307692,NA,29.9392307692308,1013.68269230769
"XVW",-120.5783,34.7275,1995,7,30,60.4925,53.735,81.0008333333333,172.647058823529,4.85294117647059,NA,29.8694117647059,1011.25882352941
"XVW",-120.5783,34.7275,1995,7,31,59.5464285714286,56.0492857142857,88.9746428571429,127.884615384615,2.80769230769231,NA,29.8580769230769,1010.85769230769
"XVW",-120.5783,34.7275,1995,8,1,58.43,54.72,88.5955555555556,164.848484848485,3.54545454545455,NA,29.8857575757576,1011.83939393939
"XVW",-120.5783,34.7275,1995,8,2,57.5666666666667,55.4466666666667,93.2496296296296,266.896551724138,5.86206896551724,NA,29.8870689655172,1011.89137931034
"XVW",-120.5783,34.7275,1995,8,3,57.2066666666667,55.34,94.06,309.824561403509,6.3859649122807,NA,29.8682456140351,1011.27894736842
"XVW",-120.5783,34.7275,1995,8,4,57.0634482758621,55.2510344827586,94.2272413793103,278.714285714286,6.07142857142857,NA,29.8787142857143,1011.60857142857
"XVW",-120.5783,34.7275,1995,8,5,57.2058064516129,55.2954838709677,93.8590322580645,251.69014084507,4.8169014084507,NA,29.8497183098592,1010.64507042254
"XVW",-120.5783,34.7275,1995,8,6,58.02,56.0066666666667,93.497037037037,199.272727272727,5.36363636363636,NA,29.7996363636364,1008.92909090909
"XVW",-120.5783,34.7275,1995,8,7,57.4206451612903,55.4406451612903,93.6703225806452,278.070175438596,5.85964912280702,NA,29.8073684210526,1009.21228070175
"XVW",-120.5783,34.7275,1995,8,8,59.5815384615385,54.5207692307692,85.0138461538461,149.285714285714,4.26190476190476,NA,29.7833333333333,1008.36428571429
"XVW",-120.5783,34.7275,1995,8,9,58.2866666666667,54.12,87.2566666666667,194.090909090909,3.45454545454545,NA,29.7586363636364,1007.50681818182
"XVW",-120.5783,34.7275,1995,8,10,58.1782608695652,54.3513043478261,87.8369565217391,317,10.025,NA,29.7535,1007.3475
"XVW",-120.5783,34.7275,1995,8,11,57.1928,53.2832,87.9616,196.304347826087,6.08695652173913,NA,29.8076086956522,1009.23043478261
"XVW",-120.5783,34.7275,1995,8,12,55.8133333333333,53.2533333333333,91.7977777777778,261.25,5.72916666666667,NA,29.8777083333333,1011.60625
"XVW",-120.5783,34.7275,1995,8,13,55.5038461538462,53.0046153846154,92.1376923076923,182.727272727273,3.90909090909091,NA,29.8561363636364,1010.88181818182
"XVW",-120.5783,34.7275,1995,8,14,56.9576923076923,54.8669230769231,93.3523076923077,192,3.6,NA,29.7918,1008.688
"XVW",-120.5783,34.7275,1995,8,15,56.9733333333333,54.6933333333333,92.6166666666667,161.09375,3.34375,NA,29.84890625,1010.59375
"XVW",-120.5783,34.7275,1995,8,16,57.596,53.9744,88.4316,173.181818181818,3.90909090909091,NA,29.8831818181818,1011.76818181818
"XVW",-120.5783,34.7275,1995,8,17,57.2,52.1528,84.7728,160.645161290323,5.7741935483871,NA,29.9203225806452,1012.98387096774
"XVW",-120.5783,34.7275,1995,8,18,57.1241666666667,51.845,84.0383333333333,198.333333333333,5.12903225806452,NA,29.9209677419355,1013.07333333333
"XVW",-120.5783,34.7275,1995,8,19,57.8,54.5375,89.6479166666667,170.243902439024,4.1219512195122,NA,29.8582926829268,1010.94390243902
"XVW",-120.5783,34.7275,1995,8,20,57.035,55.76,95.76875,156,3.29090909090909,NA,29.892,1012.07090909091
"XVW",-120.5783,34.7275,1995,8,21,57.8525,55.895,93.5675,209.019607843137,4.03921568627451,NA,30.006862745098,1015.95294117647
"XVW",-120.5783,34.7275,1995,8,22,58.4857142857143,56.6085714285714,93.8753571428571,247.142857142857,4.67857142857143,NA,30.0089285714286,1016.02857142857
"XVW",-120.5783,34.7275,1995,8,23,58.3378571428571,56.6857142857143,94.5875,196.065573770492,3.32786885245902,NA,29.9565573770492,1014.25901639344
"XVW",-120.5783,34.7275,1995,8,24,57.4333333333333,55.32,93.2277777777778,160.869565217391,3.56521739130435,NA,29.9371739130435,1013.60217391304
"XVW",-120.5783,34.7275,1995,8,25,57.995,54.86,89.9270833333333,257.1875,5.84375,NA,29.9378125,1013.628125
"XVW",-120.5783,34.7275,1995,8,26,57.1175,54.3125,91.0725,238.863636363636,6.18181818181818,NA,29.9575,1014.28636363636
"XVW",-120.5783,34.7275,1995,8,27,56.6614814814815,53.4733333333333,90.3644444444444,258.163265306122,4.81714285714286,NA,29.9575510204082,1014.29583333333
"XVW",-120.5783,34.7275,1995,8,28,57.1528,46.544,70.3256,90.9183673469388,2.73811320754717,NA,29.9454716981132,1013.95555555556
"XVW",-120.5783,34.7275,1995,8,29,56.9154545454545,47.9954545454545,73.7681818181818,214.722222222222,5.50181818181818,NA,29.9386363636364,1013.81875
"XVW",-120.5783,34.7275,1995,8,30,55.88,52.865,90.3433333333333,199.375,5.03125,NA,29.9215625,1013.090625
