"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"APC",-122.2804,38.2075,1973,1,1,NA,NA,NA,180,3.53,NA,30.23125,NA
"APC",-122.2804,38.2075,1973,1,2,NA,NA,NA,193.75,2.69538461538462,NA,30.1015384615385,NA
"APC",-122.2804,38.2075,1973,1,3,NA,NA,NA,262.727272727273,5.015,NA,30.02625,NA
"APC",-122.2804,38.2075,1973,1,4,NA,NA,NA,288.333333333333,3.744,NA,30.066,NA
"APC",-122.2804,38.2075,1973,1,5,NA,NA,NA,360,0.736,NA,30.1786666666667,NA
"APC",-122.2804,38.2075,1973,1,6,NA,NA,NA,255,2.144,NA,30.164,NA
"APC",-122.2804,38.2075,1973,1,7,NA,NA,NA,263.333333333333,1.00571428571429,NA,30.1357142857143,NA
"APC",-122.2804,38.2075,1973,1,8,NA,NA,NA,87.6470588235294,14.3670588235294,NA,30.0123529411765,NA
"APC",-122.2804,38.2075,1973,1,9,NA,NA,NA,151.428571428571,13.6307692307692,NA,29.775,NA
"APC",-122.2804,38.2075,1973,1,10,NA,NA,NA,158.333333333333,3.825,NA,30.059375,NA
"APC",-122.2804,38.2075,1973,1,11,NA,NA,NA,93.8888888888889,8.17777777777778,NA,30.26,NA
"APC",-122.2804,38.2075,1973,1,12,NA,NA,NA,141.666666666667,3.89411764705882,NA,30.2958823529412,NA
"APC",-122.2804,38.2075,1973,1,13,NA,NA,NA,75.8333333333333,3.33555555555556,NA,30.3166666666667,NA
"APC",-122.2804,38.2075,1973,1,14,NA,NA,NA,80,10.625,NA,30.238125,NA
"APC",-122.2804,38.2075,1973,1,15,NA,NA,NA,140,6.78117647058824,NA,30.023125,NA
"APC",-122.2804,38.2075,1973,1,16,NA,NA,NA,203.333333333333,9.6925,NA,29.7925,NA
"APC",-122.2804,38.2075,1973,1,17,NA,NA,NA,170,5.84,NA,29.9358333333333,NA
"APC",-122.2804,38.2075,1973,1,18,NA,NA,NA,182,8.672,NA,29.824,NA
"APC",-122.2804,38.2075,1973,1,19,NA,NA,NA,270.769230769231,6.15466666666667,NA,30.1173333333333,NA
"APC",-122.2804,38.2075,1973,1,20,NA,NA,NA,270,0.931428571428571,NA,30.2528571428571,NA
"APC",-122.2804,38.2075,1973,1,21,NA,NA,NA,202.727272727273,2.79428571428571,NA,30.1173333333333,NA
"APC",-122.2804,38.2075,1973,1,22,NA,NA,NA,116.666666666667,2.93142857142857,NA,30.2221428571429,NA
"APC",-122.2804,38.2075,1973,1,23,NA,NA,NA,88.3333333333333,7.66285714285714,NA,30.3238461538462,NA
"APC",-122.2804,38.2075,1973,1,24,NA,NA,NA,90,3.00571428571429,NA,30.2914285714286,NA
"APC",-122.2804,38.2075,1973,1,25,NA,NA,NA,266.666666666667,2.92333333333333,NA,30.2025,NA
"APC",-122.2804,38.2075,1973,1,26,NA,NA,NA,262,1.695,NA,30.2325,NA
"APC",-122.2804,38.2075,1973,1,27,NA,NA,NA,90,4.22285714285714,NA,30.3214285714286,NA
"APC",-122.2804,38.2075,1973,1,28,NA,NA,NA,90.3846153846154,10.68,NA,30.2193333333333,NA
"APC",-122.2804,38.2075,1973,1,29,NA,NA,NA,93.3333333333333,6.00615384615385,NA,29.9646153846154,NA
"APC",-122.2804,38.2075,1973,1,30,NA,NA,NA,158.75,1.85230769230769,NA,29.8807692307692,NA
"APC",-122.2804,38.2075,1973,1,31,NA,NA,NA,226,2.08615384615385,NA,29.9884615384615,NA
"APC",-122.2804,38.2075,1973,2,1,NA,NA,NA,80,5.00571428571429,NA,30.1057142857143,NA
"APC",-122.2804,38.2075,1973,2,2,NA,NA,NA,70,4.25,NA,30,NA
"APC",-122.2804,38.2075,1973,2,3,NA,NA,NA,93.8235294117647,9.54352941176471,NA,29.853125,NA
"APC",-122.2804,38.2075,1973,2,4,NA,NA,NA,120.357142857143,8.44571428571428,NA,29.9321428571429,NA
"APC",-122.2804,38.2075,1973,2,5,NA,NA,NA,133.125,6.34133333333333,NA,30.0506666666667,NA
"APC",-122.2804,38.2075,1973,2,6,NA,NA,NA,91.5625,11.265,NA,29.82875,NA
"APC",-122.2804,38.2075,1973,2,7,NA,NA,NA,130.833333333333,3.73333333333333,NA,29.9093333333333,NA
"APC",-122.2804,38.2075,1973,2,8,NA,NA,NA,186,1.59529411764706,NA,30.0929411764706,NA
"APC",-122.2804,38.2075,1973,2,9,NA,NA,NA,166.818181818182,6.2,NA,30.060625,NA
"APC",-122.2804,38.2075,1973,2,10,NA,NA,NA,189.285714285714,8.36857142857143,NA,29.8135714285714,NA
"APC",-122.2804,38.2075,1973,2,11,NA,NA,NA,215,6.00571428571429,NA,29.5714285714286,NA
"APC",-122.2804,38.2075,1973,2,12,NA,NA,NA,148.076923076923,7.7,NA,29.75375,NA
"APC",-122.2804,38.2075,1973,2,13,NA,NA,NA,93.8461538461538,10.4676923076923,NA,29.9207692307692,NA
"APC",-122.2804,38.2075,1973,2,14,NA,NA,NA,203.125,4.27733333333333,NA,30.1026666666667,NA
"APC",-122.2804,38.2075,1973,2,15,NA,NA,NA,289.166666666667,2.84,NA,30.2175,NA
"APC",-122.2804,38.2075,1973,2,16,NA,NA,NA,177.777777777778,3.94823529411765,NA,30.2217647058824,NA
"APC",-122.2804,38.2075,1973,2,17,NA,NA,NA,149.375,2.57,NA,30.2006666666667,NA
"APC",-122.2804,38.2075,1973,2,18,NA,NA,NA,153.75,1.83058823529412,NA,30.1535294117647,NA
"APC",-122.2804,38.2075,1973,2,19,NA,NA,NA,106.428571428571,5.47692307692308,NA,30.1107692307692,NA
"APC",-122.2804,38.2075,1973,2,20,NA,NA,NA,132.777777777778,6.22285714285714,NA,30.1207142857143,NA
"APC",-122.2804,38.2075,1973,2,21,NA,NA,NA,150,5.77846153846154,NA,29.9723076923077,NA
"APC",-122.2804,38.2075,1973,2,22,NA,NA,NA,133.5,4.352,NA,30.02,NA
"APC",-122.2804,38.2075,1973,2,23,NA,NA,NA,137.083333333333,5.765,NA,30.04875,NA
"APC",-122.2804,38.2075,1973,2,24,NA,NA,NA,144.6875,11.515,NA,29.88125,NA
"APC",-122.2804,38.2075,1973,2,25,NA,NA,NA,175.3125,8.08470588235294,NA,30.1023529411765,NA
"APC",-122.2804,38.2075,1973,2,26,NA,NA,NA,135.454545454545,6.505,NA,30.0725,NA
"APC",-122.2804,38.2075,1973,2,27,NA,NA,NA,98.8888888888889,7.44,NA,29.8907142857143,NA
"APC",-122.2804,38.2075,1973,2,28,NA,NA,NA,183.5,5.43333333333333,NA,29.8716666666667,NA
"APC",-122.2804,38.2075,1973,3,1,NA,NA,NA,226.666666666667,6.76,NA,30.20125,NA
"APC",-122.2804,38.2075,1973,3,2,NA,NA,NA,241.111111111111,5.26,NA,30.206875,NA
"APC",-122.2804,38.2075,1973,3,3,NA,NA,NA,170.555555555556,3.8,NA,30.1307142857143,NA
"APC",-122.2804,38.2075,1973,3,4,NA,NA,NA,225.714285714286,3.84615384615385,NA,29.9853846153846,NA
"APC",-122.2804,38.2075,1973,3,5,NA,NA,NA,226.666666666667,3.08923076923077,NA,29.93,NA
"APC",-122.2804,38.2075,1973,3,6,NA,NA,NA,196.25,5.145,NA,29.83625,NA
"APC",-122.2804,38.2075,1973,3,7,NA,NA,NA,219.5,3.82,NA,29.96125,NA
"APC",-122.2804,38.2075,1973,3,8,NA,NA,NA,176.363636363636,4.575,NA,29.9193333333333,NA
"APC",-122.2804,38.2075,1973,3,9,NA,NA,NA,208.75,2.34,NA,29.9291666666667,NA
"APC",-122.2804,38.2075,1973,3,10,NA,NA,NA,209.375,5.65142857142857,NA,29.9785714285714,NA
"APC",-122.2804,38.2075,1973,3,11,NA,NA,NA,251.25,5.27733333333333,NA,29.8546666666667,NA
"APC",-122.2804,38.2075,1973,3,12,NA,NA,NA,333.75,9.65142857142857,NA,29.8557142857143,NA
"APC",-122.2804,38.2075,1973,3,13,NA,NA,NA,287.5,7.51428571428571,NA,29.9342857142857,NA
"APC",-122.2804,38.2075,1973,3,14,NA,NA,NA,323.636363636364,9.47076923076923,NA,30.0515384615385,NA
"APC",-122.2804,38.2075,1973,3,15,NA,NA,NA,259.166666666667,3.38181818181818,NA,30.1418181818182,NA
"APC",-122.2804,38.2075,1973,3,16,NA,NA,NA,195,3.51111111111111,NA,30.1994444444444,NA
"APC",-122.2804,38.2075,1973,3,17,NA,NA,NA,259.642857142857,8.352,NA,30.0873333333333,NA
"APC",-122.2804,38.2075,1973,3,18,NA,NA,NA,257.857142857143,5.16307692307692,NA,30.0376923076923,NA
"APC",-122.2804,38.2075,1973,3,19,NA,NA,NA,111.25,7.44,NA,29.864375,NA
"APC",-122.2804,38.2075,1973,3,20,NA,NA,NA,224.666666666667,10.2746666666667,NA,29.7513333333333,NA
"APC",-122.2804,38.2075,1973,3,21,NA,NA,NA,187.692307692308,9.21066666666667,NA,29.888,NA
"APC",-122.2804,38.2075,1973,3,22,NA,NA,NA,267.777777777778,4.74666666666667,NA,30.0193333333333,NA
"APC",-122.2804,38.2075,1973,3,23,NA,NA,NA,265,3.38,NA,30.0675,NA
"APC",-122.2804,38.2075,1973,3,24,NA,NA,NA,231.25,1.62461538461538,NA,30.11,NA
"APC",-122.2804,38.2075,1973,3,25,NA,NA,NA,278.333333333333,5.48307692307692,NA,30.0276923076923,NA
"APC",-122.2804,38.2075,1973,3,26,NA,NA,NA,276.428571428571,4.416,NA,29.914,NA
"APC",-122.2804,38.2075,1973,3,27,NA,NA,NA,221.666666666667,5.15692307692308,NA,29.9238461538462,NA
"APC",-122.2804,38.2075,1973,3,28,NA,NA,NA,308.333333333333,11.2675,NA,30.009375,NA
"APC",-122.2804,38.2075,1973,3,29,NA,NA,NA,266.666666666667,3.15692307692308,NA,30.1284615384615,NA
"APC",-122.2804,38.2075,1973,3,30,NA,NA,NA,194,5.59294117647059,NA,30.1141176470588,NA
"APC",-122.2804,38.2075,1973,3,31,NA,NA,NA,235,9.48,NA,30.1217647058824,NA
"APC",-122.2804,38.2075,1973,4,1,NA,NA,NA,248.75,4.22222222222222,NA,30.3388888888889,NA
"APC",-122.2804,38.2075,1973,4,2,NA,NA,NA,312.142857142857,7.43,NA,30.3325,NA
"APC",-122.2804,38.2075,1973,4,3,NA,NA,NA,316.5625,11.075,NA,30.29875,NA
"APC",-122.2804,38.2075,1973,4,4,NA,NA,NA,319.090909090909,6.265,NA,30.23,NA
"APC",-122.2804,38.2075,1973,4,5,NA,NA,NA,213.571428571429,3.445,NA,30.13125,NA
"APC",-122.2804,38.2075,1973,4,6,NA,NA,NA,201.666666666667,5.32,NA,30.116875,NA
"APC",-122.2804,38.2075,1973,4,7,NA,NA,NA,250,6.67333333333333,NA,30.0766666666667,NA
"APC",-122.2804,38.2075,1973,4,8,NA,NA,NA,302.5,0.94,NA,30.0825,NA
"APC",-122.2804,38.2075,1973,4,9,NA,NA,NA,205,1.512,NA,30.106,NA
"APC",-122.2804,38.2075,1973,4,10,41,25.16,52.96,210,2.73454545454545,NA,30.0127272727273,NA
