"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"O69",-122.6053,38.2578,2011,5,4,67.2588235294118,46.9823529411765,49.7455,282,5.35,NA,30.0467647058824,NA
"O69",-122.6053,38.2578,2011,5,5,61.19375,48.48125,65.2131818181818,310.909090909091,4.40909090909091,NA,30.011875,NA
"O69",-122.6053,38.2578,2011,5,6,58.489552238806,49.355223880597,72.3561904761905,295.714285714286,6.04761904761905,NA,29.9646268656716,NA
"O69",-122.6053,38.2578,2011,5,7,52.5971428571429,47.7628571428571,81.15625,280,8.41071428571429,NA,29.9372857142857,NA
"O69",-122.6053,38.2578,2011,5,8,52.9220779220779,46.8207792207792,81.4427272727273,273.636363636364,13.1168831168831,NA,29.9177922077922,NA
"O69",-122.6053,38.2578,2011,5,9,51.608,43.4,75.7321917808219,288.356164383562,7.28767123287671,NA,29.9336,NA
"O69",-122.6053,38.2578,2011,5,10,55.3739130434783,47.1826086956522,74.2471428571429,295.892857142857,6.19642857142857,NA,29.951884057971,NA
"O69",-122.6053,38.2578,2011,5,11,60.2,48.8,66.0133333333333,283.333333333333,7.33333333333333,NA,29.93,NA
"O69",-122.6053,38.2578,2011,5,17,51.56,50.63,96.8778333333333,152.666666666667,7.66666666666667,0.0142857142857143,29.8106666666667,NA
"O69",-122.6053,38.2578,2011,5,18,52.8909090909091,48.8272727272727,87.2418032786885,257.704918032787,6.24590163934426,0.0333333333333333,29.8195454545455,NA
"O69",-122.6053,38.2578,2011,5,19,48.956,46.292,81.2404545454545,285,5.22727272727273,NA,29.955,NA
"O69",-122.6053,38.2578,2011,5,20,56.075,50.9,78.2590476190476,284.285714285714,6.23809523809524,NA,30.0585,NA
"O69",-122.6053,38.2578,2011,5,21,54.4888888888889,48.5333333333333,72.4574509803922,275.294117647059,6.96078431372549,NA,29.9972839506173,NA
"O69",-122.6053,38.2578,2011,5,22,52.3268292682927,47.0585365853659,77.0678181818182,281.818181818182,7.81818181818182,NA,29.9418292682927,NA
"O69",-122.6053,38.2578,2011,5,23,53.621686746988,46.2048192771084,77.9126506024096,290.722891566265,8.03614457831325,NA,29.9649397590361,NA
"O69",-122.6053,38.2578,2011,5,24,52.4084507042254,45.4619718309859,77.8469230769231,291.923076923077,6.98076923076923,NA,30.0722535211268,NA
"O69",-122.6053,38.2578,2011,5,25,52.25,48.8088235294118,86.6222641509434,257.924528301887,7.11320754716981,0.0557142857142857,30.0479411764706,NA
"O69",-122.6053,38.2578,2011,5,26,53.4173913043478,47.3130434782609,74.3025531914894,278.333333333333,8.27659574468085,NA,30.1472463768116,NA
"O69",-122.6053,38.2578,2011,5,27,55.1130434782609,50.2347826086957,80.4824,280,7.7,NA,30.1495652173913,NA
"O69",-122.6053,38.2578,2011,5,28,52.2695652173913,45.8521739130435,80.7346376811594,291.449275362319,6.98550724637681,0.0283333333333333,30.0050724637681,NA
"O69",-122.6053,38.2578,2011,5,29,51.8257142857143,43.4685714285714,75.6964285714286,290.428571428571,7.88571428571429,0.01,29.8727142857143,NA
"O69",-122.6053,38.2578,2011,5,30,52.1549295774648,45.4112676056338,75.0777192982456,285.087719298246,8.45614035087719,NA,30.0016901408451,NA
"O69",-122.6053,38.2578,2011,5,31,54.4584615384615,48.6153846153846,78.6224,187.8,6.9,0.0316666666666667,30.0158461538462,NA
"O69",-122.6053,38.2578,2011,6,1,51.9521126760563,47.5154929577465,79.0386363636364,250.681818181818,7.54545454545455,0.036,30.0823943661972,NA
"O69",-122.6053,38.2578,2011,6,2,53.2961038961039,48.7844155844156,77.33875,278.5,6.65,NA,30.1648051948052,NA
"O69",-122.6053,38.2578,2011,6,3,51.715625,48.115625,82.413,253.666666666667,5.03333333333333,NA,30.02625,NA
"O69",-122.6053,38.2578,2011,6,4,55.6918918918919,54.1108108108108,94.6344776119403,137.313432835821,7.7910447761194,0.0383333333333333,29.8032432432432,NA
"O69",-122.6053,38.2578,2011,6,5,56.8,54.225,88.6848888888889,254,5.31111111111111,0.01,29.9863888888889,NA
"O69",-122.6053,38.2578,2011,6,6,55.534328358209,52.5253731343284,89.7798461538462,284.615384615385,6.6,NA,30.0132835820896,NA
"O69",-122.6053,38.2578,2011,6,7,58.504347826087,54.6173913043478,87.4904545454545,290.606060606061,5.39393939393939,NA,30.0547826086957,NA
"O69",-122.6053,38.2578,2011,6,8,58.112676056338,54.0056338028169,84.7070833333333,204.375,5.14583333333333,NA,29.976338028169,NA
"O69",-122.6053,38.2578,2011,6,9,55.910447761194,52.6597014925373,82.8835897435897,297.435897435897,5.41025641025641,NA,30.0185074626866,NA
"O69",-122.6053,38.2578,2011,6,10,56.5382352941176,51.6411764705882,76.707380952381,286.190476190476,6.54761904761905,NA,29.9769117647059,NA
"O69",-122.6053,38.2578,2011,6,11,55.0727272727273,50.1090909090909,79.8978,261,8.46,NA,29.9081818181818,NA
"O69",-122.6053,38.2578,2011,6,12,57.0434782608696,52.4260869565217,82.4694230769231,298.461538461538,6.38461538461539,NA,29.8844927536232,NA
