"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"UKI",-123.2008,39.1258,1973,1,1,37.85,27.3875,70.006875,93.125,2.125,NA,30.27875,1026.1375
"UKI",-123.2008,39.1258,1973,1,2,39.05,33.35,81.6670833333333,71.6666666666667,1.75,NA,30.1233333333333,1020.26666666667
"UKI",-123.2008,39.1258,1973,1,3,38.495652173913,30.7478260869565,75.1452173913043,140,5.1304347826087,NA,30.0404347826087,1017.56086956522
"UKI",-123.2008,39.1258,1973,1,4,34.775,27.875,79.5325,60.4166666666667,1.125,NA,30.0775,1018.96666666667
"UKI",-123.2008,39.1258,1973,1,5,33.65,25.7,74.8970833333333,30.8333333333333,0.52,NA,30.1652,1022.02083333333
"UKI",-123.2008,39.1258,1973,1,6,33.8,27.0090909090909,78.5018181818182,47.7272727272727,1,NA,30.1629166666667,1021.93181818182
"UKI",-123.2008,39.1258,1973,1,7,31.7,28.4,89.1079166666667,29.6153846153846,0.5,NA,30.1284,1020.70416666667
"UKI",-123.2008,39.1258,1973,1,8,36.5,33.9636363636364,90.5504545454545,55.6521739130435,2,NA,30.0195652173913,1017.34545454545
"UKI",-123.2008,39.1258,1973,1,9,43.3478260869565,41.4695652173913,93.1282608695652,146.666666666667,4.54166666666667,NA,29.7175,1006.71304347826
"UKI",-123.2008,39.1258,1973,1,10,46.4,45.3826086956522,96.3430434782609,67.5,2.08,NA,30.0464,1017.32173913043
"UKI",-123.2008,39.1258,1973,1,11,49.2371428571429,47.5057142857143,93.777619047619,152.272727272727,6.90909090909091,NA,30.2077272727273,1023.04285714286
"UKI",-123.2008,39.1258,1973,1,12,53.935,51.872,93.7045,153.809523809524,6.52571428571429,NA,30.242,1024.03157894737
"UKI",-123.2008,39.1258,1973,1,13,53.465,52.055,95.0420833333333,67.9166666666667,2.83333333333333,NA,30.3116666666667,1026.425
"UKI",-123.2008,39.1258,1973,1,14,48.5086956521739,40.8278260869565,76.804347826087,179.75,2.35304347826087,NA,30.2321739130435,1023.07692307692
"UKI",-123.2008,39.1258,1973,1,15,49.1490909090909,46.5063636363636,90.6831818181818,105.434782608696,5.37666666666667,NA,29.9975,1015.93636363636
"UKI",-123.2008,39.1258,1973,1,16,52.5982608695652,48.4895652173913,86.5908695652174,178.260869565217,9.82608695652174,NA,29.6939130434783,1005.54782608696
